Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isolate,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR11917047,AMPLICON,594,11822968,PRJNA635907,SAMN15057922,Metagenome or environmental,8209256,UNIVERSITY OF SASKATCHEWAN,2016,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX8463819,Canada,North America,Canada: Saskatoon,Brassica napus,Illumina MiSeq,419rtWZ2017,leaf,52.1718 N 106.5052 W,419rtWZ2017,PAIRED,PCR,GENOMIC,leaf metagenome,ILLUMINA,2021-06-22T00:00:00Z,2020-06-03T12:08:00Z,1,1146w6-L,SRP265801
SRR11917048,AMPLICON,584,28665283,PRJNA635907,SAMN15057921,Metagenome or environmental,20111018,UNIVERSITY OF SASKATCHEWAN,2016,public,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX8463818,Canada,North America,Canada: Saskatoon,Brassica napus,Illumina MiSeq,719urFR2017,leaf,52.1718 N 106.5052 W,719urFR2017,PAIRED,PCR,GENOMIC,leaf metagenome,ILLUMINA,2021-06-22T00:00:00Z,2020-06-03T12:08:00Z,1,1146w5-L,SRP265801
SRR11917049,AMPLICON,592,9746791,PRJNA635907,SAMN15057920,Metagenome or environmental,6907523,UNIVERSITY OF SASKATCHEWAN,2016,public,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX8463817,Canada,North America,Canada: Saskatoon,Brassica napus,Illumina MiSeq,57kyGY2017,leaf,52.1718 N 106.5052 W,57kyGY2017,PAIRED,PCR,GENOMIC,leaf metagenome,ILLUMINA,2021-06-22T00:00:00Z,2020-06-03T12:08:00Z,1,1146w3-L,SRP265801
SRR11917050,AMPLICON,593,8513798,PRJNA635907,SAMN15057919,Metagenome or environmental,6011504,UNIVERSITY OF SASKATCHEWAN,2016,public,"fastq,sra,run.zq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX8463816,Canada,North America,Canada: Saskatoon,Brassica napus,Illumina MiSeq,137xvLO2017,leaf,52.1718 N 106.5052 W,137xvLO2017,PAIRED,PCR,GENOMIC,leaf metagenome,ILLUMINA,2021-06-22T00:00:00Z,2020-06-03T12:08:00Z,1,1146w2-L,SRP265801
SRR11917051,AMPLICON,574,15826159,PRJNA635907,SAMN15057856,Metagenome or environmental,11081594,UNIVERSITY OF SASKATCHEWAN,2016,public,"fastq,run.zq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX8463815,Canada,North America,Canada: Saskatoon,Brassica napus,Illumina MiSeq,468nhNZ2017,leaf,52.1718 N 106.5052 W,468nhNZ2017,PAIRED,PCR,GENOMIC,leaf metagenome,ILLUMINA,2021-06-22T00:00:00Z,2020-06-03T12:08:00Z,1,1105w5-L,SRP265801
SRR11917052,AMPLICON,593,4130933,PRJNA635907,SAMN15057918,Metagenome or environmental,3056745,UNIVERSITY OF SASKATCHEWAN,2016,public,"sra,run.zq,fastq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX8463814,Canada,North America,Canada: Saskatoon,Brassica napus,Illumina MiSeq,887srVQ2017,leaf,52.1718 N 106.5052 W,887srVQ2017,PAIRED,PCR,GENOMIC,leaf metagenome,ILLUMINA,2021-06-22T00:00:00Z,2020-06-03T12:08:00Z,1,1146Dupw2-L,SRP265801
SRR11917053,AMPLICON,582,4901625,PRJNA635907,SAMN15057917,Metagenome or environmental,2693992,UNIVERSITY OF SASKATCHEWAN,2016,public,"run.zq,fastq,sra","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX8463813,Canada,North America,Canada: Saskatoon,Brassica napus,Illumina MiSeq,686zfQO2017,leaf,52.1718 N 106.5052 W,686zfQO2017,PAIRED,PCR,GENOMIC,leaf metagenome,ILLUMINA,2021-06-22T00:00:00Z,2020-06-03T12:08:00Z,1,1146-8-L,SRP265801
SRR11917054,AMPLICON,587,3633356,PRJNA635907,SAMN15057916,Metagenome or environmental,2000274,UNIVERSITY OF SASKATCHEWAN,2016,public,"sra,fastq,run.zq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX8463812,Canada,North America,Canada: Saskatoon,Brassica napus,Illumina MiSeq,829xaHX2017,leaf,52.1718 N 106.5052 W,829xaHX2017,PAIRED,PCR,GENOMIC,leaf metagenome,ILLUMINA,2021-06-22T00:00:00Z,2020-06-03T12:08:00Z,1,1146-7-L,SRP265801
SRR11917055,AMPLICON,516,1820710,PRJNA635907,SAMN15057915,Metagenome or environmental,1067096,UNIVERSITY OF SASKATCHEWAN,2016,public,"run.zq,fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX8463811,Canada,North America,Canada: Saskatoon,Brassica napus,Illumina MiSeq,459evOH2017,leaf,52.1718 N 106.5052 W,459evOH2017,PAIRED,PCR,GENOMIC,leaf metagenome,ILLUMINA,2021-06-22T00:00:00Z,2020-06-03T12:08:00Z,1,1146-5-L,SRP265801
SRR11917056,AMPLICON,535,6091209,PRJNA635907,SAMN15057914,Metagenome or environmental,3269419,UNIVERSITY OF SASKATCHEWAN,2016,public,"run.zq,fastq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX8463810,Canada,North America,Canada: Saskatoon,Brassica napus,Illumina MiSeq,180mnOX2017,leaf,52.1718 N 106.5052 W,180mnOX2017,PAIRED,PCR,GENOMIC,leaf metagenome,ILLUMINA,2021-06-22T00:00:00Z,2020-06-03T12:08:00Z,1,1146-4-L,SRP265801
