.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR11917047_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917047_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917048_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917048_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917049_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917049_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917050_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917050_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917051_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917051_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917052_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917052_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917053_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917053_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917054_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917054_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917055_1	1	0.25	1	0.25	0.25	0.5	0.5	0.25	0.25	1
SRR11917055_2	1	0.25	1	0.25	0.25	0.5	0.5	0.25	0.25	1
SRR11917056_1	1	0.25	1	0.25	0.25	0.5	0.5	0.25	0.25	1
SRR11917056_2	1	0.25	1	0.25	0.25	0.5	0.5	0.25	0.25	1
SRR11917057_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917057_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917058_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917058_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917059_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917059_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917060_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917060_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917061_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917061_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917062_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917062_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917063_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917063_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917064_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917064_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917065_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917065_2	1	0.25	1	0.25	0.25	1	0.5	0.5	0.25	1
SRR11917066_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917066_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917067_1	1	0.5	1	0.25	0.25	0.5	0.5	0.25	0.25	1
SRR11917067_2	1	0.25	1	0.25	0.25	0.5	0.5	0.25	0.25	1
SRR11917068_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917068_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917069_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917069_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917070_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917070_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917071_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917071_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917072_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917072_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917073_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917073_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917074_1	1	1	1	0.25	0.25	1	0.5	1	0.25	1
SRR11917074_2	1	1	0.5	0.25	0.25	1	0.5	1	0.25	1
SRR11917075_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917075_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917076_1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917076_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917077_1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917077_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917078_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917078_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
