Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65
SRR11917048_2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0044879640962872305)	(25, 0.008159934720522236)	(30, 0.008159934720522236)	(35, 0.008159934720522236)	(40, 0.008159934720522236)	(45, 0.008159934720522236)	(50, 0.008159934720522236)	(55, 0.008159934720522236)	(60, 0.008159934720522236)	(65, 0.008159934720522236)	(70, 0.008567931456548347)	(75, 0.010199918400652794)	(80, 0.010199918400652794)	(85, 0.010199918400652794)	(90, 0.010199918400652794)	(95, 0.010199918400652794)	(100, 0.010199918400652794)	(105, 0.010199918400652794)	(110, 0.010199918400652794)	(115, 0.010199918400652794)	(120, 0.011423908608731131)	(125, 0.012239902080783354)	(130, 0.012239902080783354)	(135, 0.012239902080783354)	(140, 0.012239902080783354)	(145, 0.012239902080783354)	(150, 0.012239902080783354)	(155, 0.012239902080783354)	(160, 0.012239902080783354)	(165, 0.012239902080783354)	(170, 0.012647898816809467)	(175, 0.032639738882088945)	(180, 0.044879640962872294)	(185, 0.044879640962872294)	(190, 0.04691962464300286)	(195, 0.054263565891472874)	(200, 0.06527947776417789)	(205, 0.069359445124439)	(210, 0.069359445124439)	(215, 0.069359445124439)	(220, 0.069359445124439)	(225, 0.069359445124439)	(230, 0.069359445124439)	(235, 0.069359445124439)	(240, 0.07099143206854346)	(245, 0.07425540595675235)	(250, 0.07711138310893513)	(255, 0.07751937984496124)	(260, 0.07751937984496124)	(265, 0.10159118727050183)	(270, 0.1215830273357813)	(275, 0.12239902080783353)	(280, 0.12239902080783353)	(285, 0.12239902080783353)	(290, 0.12239902080783353)
SRR11917051_1 - illumina_small_rna_3'_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0987582601118292)	(160, 0.18880255609614408)	(165, 0.18880255609614408)	(170, 0.18880255609614408)	(175, 0.18880255609614408)	(180, 0.18880255609614408)	(185, 0.18880255609614408)	(190, 0.18880255609614408)	(195, 0.18880255609614408)	(200, 0.18880255609614408)	(205, 0.18880255609614408)	(210, 0.18880255609614408)	(215, 0.18880255609614408)	(220, 0.18880255609614408)	(225, 0.18880255609614408)	(230, 0.18880255609614408)	(235, 0.18880255609614408)	(240, 0.18880255609614408)	(245, 0.18880255609614408)	(250, 0.18880255609614408)	(255, 0.18880255609614408)	(260, 0.18880255609614408)	(265, 0.18880255609614408)	(270, 0.18880255609614408)	(275, 0.18880255609614408)	(280, 0.18880255609614408)	(285, 0.18880255609614408)	(290, 0.18880255609614408)
SRR11917051_2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0014523273545857236)	(25, 0.0036308183864643085)	(30, 0.0036308183864643085)	(35, 0.0036308183864643085)	(40, 0.0036308183864643085)	(45, 0.0036308183864643085)	(50, 0.0036308183864643085)	(55, 0.0036308183864643085)	(60, 0.0036308183864643085)	(65, 0.0036308183864643085)	(70, 0.0036308183864643085)	(75, 0.0036308183864643085)	(80, 0.0036308183864643085)	(85, 0.0036308183864643085)	(90, 0.0036308183864643085)	(95, 0.0036308183864643085)	(100, 0.0036308183864643085)	(105, 0.0036308183864643085)	(110, 0.0036308183864643085)	(115, 0.0036308183864643085)	(120, 0.0036308183864643085)	(125, 0.0036308183864643085)	(130, 0.0036308183864643085)	(135, 0.0036308183864643085)	(140, 0.0036308183864643085)	(145, 0.0036308183864643085)	(150, 0.0036308183864643085)	(155, 0.0036308183864643085)	(160, 0.0036308183864643085)	(165, 0.0036308183864643085)	(170, 0.0036308183864643085)	(175, 0.0036308183864643085)	(180, 0.0036308183864643085)	(185, 0.0036308183864643085)	(190, 0.0036308183864643085)	(195, 0.021784910318785856)	(200, 0.050831457410500325)	(205, 0.05809309418342895)	(210, 0.061723912569893256)	(215, 0.061723912569893256)	(220, 0.061723912569893256)	(225, 0.061723912569893256)	(230, 0.061723912569893256)	(235, 0.061723912569893256)	(240, 0.0704378766974076)	(245, 0.08496115024326482)	(250, 0.08713964127514341)	(255, 0.08713964127514341)	(260, 0.08713964127514341)	(265, 0.09585360540265775)	(270, 0.10166291482100065)	(275, 0.10166291482100065)	(280, 0.10166291482100065)	(285, 0.10166291482100065)	(290, 0.10166291482100065)
SRR11917055_1 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.017035775127768316)	(90, 0.028392958546280524)	(95, 0.028392958546280524)	(100, 0.028392958546280524)	(105, 0.028392958546280524)	(110, 0.028392958546280524)	(115, 0.028392958546280524)	(120, 0.028392958546280524)	(125, 0.028392958546280524)	(130, 0.028392958546280524)	(135, 0.028392958546280524)	(140, 0.028392958546280524)	(145, 0.028392958546280524)	(150, 0.028392958546280524)	(155, 0.028392958546280524)	(160, 0.028392958546280524)	(165, 0.028392958546280524)	(170, 0.028392958546280524)	(175, 0.028392958546280524)	(180, 0.08517887563884156)	(185, 0.08517887563884156)	(190, 0.08517887563884156)	(195, 0.08517887563884156)	(200, 0.08517887563884156)	(205, 0.08517887563884156)	(210, 0.08517887563884156)	(215, 0.08517887563884156)	(220, 0.08517887563884156)	(225, 0.08517887563884156)	(230, 0.08517887563884156)	(235, 0.08517887563884156)	(240, 0.09653605905735377)	(245, 0.1135718341851221)	(250, 0.1135718341851221)	(255, 0.1135718341851221)	(260, 0.1362862010221465)	(265, 0.17035775127768313)	(270, 0.17035775127768313)	(275, 0.17035775127768313)	(280, 0.17035775127768313)	(285, 0.17035775127768313)	(290, 0.17035775127768313)
SRR11917055_2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.028392958546280524)	(25, 0.05678591709256105)	(30, 0.05678591709256105)	(35, 0.05678591709256105)	(40, 0.05678591709256105)	(45, 0.05678591709256105)	(50, 0.05678591709256105)	(55, 0.05678591709256105)	(60, 0.05678591709256105)	(65, 0.05678591709256105)	(70, 0.05678591709256105)	(75, 0.05678591709256105)	(80, 0.05678591709256105)	(85, 0.05678591709256105)	(90, 0.05678591709256105)	(95, 0.05678591709256105)	(100, 0.05678591709256105)	(105, 0.05678591709256105)	(110, 0.05678591709256105)	(115, 0.05678591709256105)	(120, 0.06814310051107327)	(125, 0.08517887563884156)	(130, 0.08517887563884156)	(135, 0.08517887563884156)	(140, 0.08517887563884156)	(145, 0.08517887563884156)	(150, 0.08517887563884156)	(155, 0.08517887563884156)	(160, 0.08517887563884156)	(165, 0.08517887563884156)	(170, 0.08517887563884156)	(175, 0.10221465076660988)	(180, 0.1135718341851221)	(185, 0.1135718341851221)	(190, 0.1135718341851221)	(195, 0.1135718341851221)	(200, 0.1135718341851221)	(205, 0.1135718341851221)	(210, 0.1135718341851221)	(215, 0.1135718341851221)	(220, 0.1135718341851221)	(225, 0.1135718341851221)	(230, 0.1135718341851221)	(235, 0.1135718341851221)	(240, 0.1135718341851221)	(245, 0.1135718341851221)	(250, 0.1135718341851221)	(255, 0.1135718341851221)	(260, 0.1135718341851221)	(265, 0.1135718341851221)	(270, 0.1135718341851221)	(275, 0.1135718341851221)	(280, 0.1135718341851221)	(285, 0.1135718341851221)	(290, 0.1135718341851221)
SRR11917056_1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.03341246812626396)	(25, 0.061549283390486244)	(30, 0.061549283390486244)	(35, 0.061549283390486244)	(40, 0.061549283390486244)	(45, 0.061549283390486244)	(50, 0.061549283390486244)	(55, 0.061549283390486244)	(60, 0.061549283390486244)	(65, 0.061549283390486244)	(70, 0.061549283390486244)	(75, 0.061549283390486244)	(80, 0.061549283390486244)	(85, 0.061549283390486244)	(90, 0.061549283390486244)	(95, 0.061549283390486244)	(100, 0.061549283390486244)	(105, 0.061549283390486244)	(110, 0.061549283390486244)	(115, 0.061549283390486244)	(120, 0.061549283390486244)	(125, 0.061549283390486244)	(130, 0.061549283390486244)	(135, 0.061549283390486244)	(140, 0.061549283390486244)	(145, 0.061549283390486244)	(150, 0.061549283390486244)	(155, 0.061549283390486244)	(160, 0.061549283390486244)	(165, 0.061549283390486244)	(170, 0.061549283390486244)	(175, 0.08968609865470852)	(180, 0.10551305724083355)	(185, 0.10551305724083355)	(190, 0.10551305724083355)	(195, 0.10551305724083355)	(200, 0.10551305724083355)	(205, 0.10551305724083355)	(210, 0.10551305724083355)	(215, 0.10551305724083355)	(220, 0.10551305724083355)	(225, 0.10551305724083355)	(230, 0.10551305724083355)	(235, 0.10551305724083355)	(240, 0.10551305724083355)	(245, 0.10551305724083355)	(250, 0.10551305724083355)	(255, 0.10551305724083355)	(260, 0.10551305724083355)	(265, 0.10551305724083355)	(270, 0.10551305724083355)	(275, 0.10551305724083355)	(280, 0.10551305724083355)	(285, 0.10551305724083355)	(290, 0.10551305724083355)
SRR11917056_1 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.014068407632111141)	(90, 0.02637826431020839)	(95, 0.02637826431020839)	(100, 0.02637826431020839)	(105, 0.02637826431020839)	(110, 0.02637826431020839)	(115, 0.02637826431020839)	(120, 0.02637826431020839)	(125, 0.02637826431020839)	(130, 0.02637826431020839)	(135, 0.02637826431020839)	(140, 0.02637826431020839)	(145, 0.02637826431020839)	(150, 0.02637826431020839)	(155, 0.02637826431020839)	(160, 0.02637826431020839)	(165, 0.03517101908027785)	(170, 0.03517101908027785)	(175, 0.03517101908027785)	(180, 0.03517101908027785)	(185, 0.03517101908027785)	(190, 0.03517101908027785)	(195, 0.03517101908027785)	(200, 0.03517101908027785)	(205, 0.03517101908027785)	(210, 0.03517101908027785)	(215, 0.03517101908027785)	(220, 0.03517101908027785)	(225, 0.03517101908027785)	(230, 0.03517101908027785)	(235, 0.03517101908027785)	(240, 0.0721005891145696)	(245, 0.09672030247076409)	(250, 0.09672030247076409)	(255, 0.10199595533280577)	(260, 0.10551305724083355)	(265, 0.10551305724083355)	(270, 0.10551305724083355)	(275, 0.10551305724083355)	(280, 0.10551305724083355)	(285, 0.10551305724083355)	(290, 0.10551305724083355)
SRR11917057_1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 0.1507537688442211)	(180, 0.25125628140703515)	(185, 0.25125628140703515)	(190, 0.25125628140703515)	(195, 0.25125628140703515)	(200, 0.25125628140703515)	(205, 0.25125628140703515)	(210, 0.25125628140703515)	(215, 0.25125628140703515)	(220, 0.25125628140703515)	(225, 0.25125628140703515)	(230, 0.25125628140703515)	(235, 0.25125628140703515)	(240, 0.25125628140703515)	(245, 0.25125628140703515)	(250, 0.25125628140703515)	(255, 0.25125628140703515)	(260, 0.25125628140703515)	(265, 0.25125628140703515)	(270, 0.25125628140703515)	(275, 0.25125628140703515)	(280, 0.25125628140703515)	(285, 0.25125628140703515)	(290, 0.25125628140703515)
SRR11917057_2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 0.07537688442211055)	(180, 0.12562814070351758)	(185, 0.12562814070351758)	(190, 0.12562814070351758)	(195, 0.12562814070351758)	(200, 0.12562814070351758)	(205, 0.12562814070351758)	(210, 0.12562814070351758)	(215, 0.12562814070351758)	(220, 0.12562814070351758)	(225, 0.12562814070351758)	(230, 0.12562814070351758)	(235, 0.12562814070351758)	(240, 0.12562814070351758)	(245, 0.12562814070351758)	(250, 0.12562814070351758)	(255, 0.12562814070351758)	(260, 0.12562814070351758)	(265, 0.12562814070351758)	(270, 0.12562814070351758)	(275, 0.12562814070351758)	(280, 0.12562814070351758)	(285, 0.12562814070351758)	(290, 0.12562814070351758)
SRR11917059_2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 0.09155645981688708)	(180, 0.1525940996948118)	(185, 0.1525940996948118)	(190, 0.1525940996948118)	(195, 0.1525940996948118)	(200, 0.1525940996948118)	(205, 0.1525940996948118)	(210, 0.1525940996948118)	(215, 0.1525940996948118)	(220, 0.1525940996948118)	(225, 0.1525940996948118)	(230, 0.1525940996948118)	(235, 0.1525940996948118)	(240, 0.1525940996948118)	(245, 0.1525940996948118)	(250, 0.1525940996948118)	(255, 0.1525940996948118)	(260, 0.1525940996948118)	(265, 0.1525940996948118)	(270, 0.1525940996948118)	(275, 0.1525940996948118)	(280, 0.1525940996948118)	(285, 0.1525940996948118)	(290, 0.1525940996948118)
