Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
SRR11917047_1	17.862887012464817	73.43184559710494
SRR11917047_2	6.740048250904704	74.27623642943303
SRR11917048_1	20.760913912688697	65.14279885760912
SRR11917048_2	5.646674826601387	62.45614035087725
SRR11917049_1	15.38040503557745	69.4216383871556
SRR11917049_2	7.1154898741105645	70.8994708994709
SRR11917050_1	24.703502162690107	58.5251848751221
SRR11917050_2	10.41579461420399	63.54123064043533
SRR11917051_1	10.028320383414421	68.0052283784766
SRR11917051_2	3.155181177837484	61.20107472224246
SRR11917052_1	18.776037925585403	65.665852607384
SRR11917052_2	7.441459560407987	70.104869989944
SRR11917053_1	13.01247771836007	80.74866310160428
SRR11917053_2	4.052287581699346	83.1729055258467
SRR11917054_1	19.747899159663866	75.42016806722688
SRR11917054_2	8.661926308985132	83.80736910148674
SRR11917055_1	25.15616127200454	66.38273708120389
SRR11917055_2	7.410562180579216	74.900624645088
SRR11917056_1	25.72760045722325	68.17022773234854
SRR11917056_2	7.429877780708696	81.64072804009491
SRR11917057_1	22.36180904522613	77.63819095477348
SRR11917057_2	6.78391959798995	93.21608040200944
SRR11917058_1	29.254901960784313	67.84313725490195
SRR11917058_2	15.08496732026144	79.99999999999999
SRR11917059_1	22.126144455747713	66.37843336724285
SRR11917059_2	6.408952187182096	71.3123092573752
SRR11917060_1	8.14520002744802	78.06216976600564
SRR11917060_2	2.744802031153503	66.17031496603317
SRR11917061_1	12.707505260696749	67.25508534019174
SRR11917061_2	4.208557400046762	58.808744447042336
SRR11917062_1	14.161800068704913	68.73926485743735
SRR11917062_2	4.757815183785641	49.17554105118514
SRR11917063_1	5.278967214162459	76.25742953920879
SRR11917063_2	2.1026394836070814	60.484437911420756
SRR11917064_1	15.07377320954907	65.06962864721471
SRR11917064_2	5.711206896551724	49.026027851458885
SRR11917065_1	15.286624203821656	84.71337579617821
SRR11917065_2	5.095541401273886	94.90445859872594
SRR11917066_1	14.111346369410885	79.96014447627347
SRR11917066_2	4.944575912317848	85.66446630962758
SRR11917067_1	5.157323688969258	75.24773960217013
SRR11917067_2	5.18625678119349	52.14466546112115
SRR11917068_1	11.474334956912703	76.98107905582613
SRR11917068_2	3.7607718246534283	74.37242412888723
SRR11917069_1	25.734119057131444	62.03555733120263
SRR11917069_2	8.01538154214942	63.18417898521772
SRR11917070_1	22.4612499310497	63.903138617684384
SRR11917070_2	6.974093073712469	71.83518120139004
SRR11917071_1	13.820068698384858	75.94825696119273
SRR11917071_2	4.911203683402762	76.0798070598553
SRR11917072_1	26.320559947630795	59.00095674505262
SRR11917072_2	10.534266579384662	63.01928596606078
SRR11917073_1	18.665464382326423	62.06792906522398
SRR11917073_2	7.702134054703938	59.069732491734335
SRR11917074_1	4.878048780487805	95.12195121951216
SRR11917074_2	2.4390243902439024	97.56097560975606
SRR11917075_1	20.919261355977895	74.94271465157031
SRR11917075_2	7.143819921822347	86.14368513276717
SRR11917076_1	27.40368165332238	66.12605214535003
SRR11917076_2	7.722575788681311	81.66700882775613
SRR11917077_1	19.659442724458202	75.69659442724445
SRR11917077_2	5.263157894736842	85.70691434468515
SRR11917078_1	30.5635838150289	59.39306358381503
SRR11917078_2	8.760838150289016	74.69291907514449
SRR11917079_1	28.23890087430453	63.086181446576546
SRR11917079_2	7.391847394118314	79.41410241853076
SRR11917080_1	28.766283524904214	59.81609195402301
SRR11917080_2	8.597701149425287	74.08429118773945
SRR11917081_1	10.18045352922389	84.25423187480033
SRR11917081_2	3.696901948259342	84.52571063557973
SRR11917082_1	20.54935976869062	64.58075175547287
SRR11917082_2	6.17513424204874	68.13300289136698
SRR11917083_1	10.417079780553903	78.88822790666931
SRR11917083_2	3.084583691365369	80.47238195959194
SRR11917084_1	10.497078132890843	72.83745761489071
SRR11917084_2	3.5567419378111245	71.72642666474273
SRR11917085_1	32.442223610243595	62.798251093066845
SRR11917085_2	9.531542785758901	82.94815740162397
SRR11917086_1	5.973460416581077	77.17431494186768
SRR11917086_2	2.4362187256070005	58.46103282527422
SRR11917087_1	14.390052514033924	64.99668014728067
SRR11917087_2	5.323836542524296	52.55025049797791
SRR11917088_1	10.594059405940595	61.36138613861387
SRR11917088_2	3.5891089108910887	45.734323432343224
SRR11917089_1	13.225958763968313	71.69088715177585
SRR11917089_2	5.723729080321075	72.8555689628036
SRR11917090_1	24.63893346500432	58.252067645969596
SRR11917090_2	10.899888902604618	67.89285273423032
SRR11917091_1	13.584102200141945	80.35486160397446
SRR11917091_2	4.513839602555004	84.74095102909864
SRR11917092_1	16.666666666666664	83.33333333333331
SRR11917092_2	16.666666666666664	83.33333333333331
SRR11917093_1	5.764738858264038	74.85751658413527
SRR11917093_2	2.9244137157806223	55.890871718209745
SRR11917094_1	12.168421052631578	75.53684210526315
SRR11917094_2	4.063157894736842	72.35789473684206
SRR11917095_1	8.894194896284137	71.51171466945225
SRR11917095_2	2.2086255782718998	57.871959409043434
SRR11917096_1	42.01434878587197	51.61699779249448
SRR11917096_2	13.642384105960264	75.26490066225166
SRR11917097_1	9.568566020494746	80.00130539781996
SRR11917097_2	3.674694863259578	72.2537693362052
SRR11917098_1	15.562455418956908	71.92128561238619
SRR11917098_2	6.268619141526455	71.87093525783581
SRR11917099_1	22.022267541200463	66.63451468886072
SRR11917099_2	8.05820426610814	68.13647136636718
SRR11917100_1	15.868439318703615	67.43552779112605
SRR11917100_2	6.353782903518608	74.97463826151959
SRR11917101_1	24.03073074861533	64.12363766303379
SRR11917101_2	10.621761658031089	77.53260675361803
SRR11917102_2	6.349572846917571	82.61371507734941
SRR11917103_1	10.117666556181637	84.05701027510774
SRR11917103_2	3.463705667882002	83.90785548558175
SRR11917104_1	29.96133512191273	62.787027538862205
SRR11917104_2	8.962623951182303	77.88737210342192
SRR11917105_1	22.43045965673703	69.76392450845005
SRR11917106_1	23.593964334705074	70.37037037037031
SRR11917106_2	6.2414266117969825	84.49931412894367
SRR11917107_1	28.84194254798403	65.37421100090172
SRR11917107_2	7.703207522864871	81.86268195285326
SRR11917108_1	13.88888888888889	86.11111111111104
SRR11917108_2	2.7777777777777777	97.22222222222207
SRR11917109_1	19.667458432304038	60.54631828978618
SRR11917109_2	5.605700712589074	61.35391923990485
SRR11917110_1	10.710825332511229	77.93094336298776
SRR11917110_2	3.2062010041398747	74.87007839337615
SRR11917111_1	36.67972108128761	55.40166204986153
SRR11917111_2	14.36622409017098	72.49020918903426
SRR11917112_1	10.402999062792876	72.44611059044067
SRR11917112_2	4.311152764761013	67.57263355201528
SRR11917113_1	15.247678018575852	68.75276426360021
SRR11917113_2	4.42282176028306	64.94913754975674
SRR11917114_1	7.976978417266187	79.52805755395683
SRR11917114_2	2.981294964028777	64.30503597122302
SRR11917115_1	11.31933225632741	70.87775982767917
SRR11917115_2	3.1556273559504575	59.143780290791554
SRR11917116_1	8.120108154262132	73.80389924576635
SRR11917116_2	2.430624733172051	57.48114415824675
SRR11917117_1	9.642282460700581	68.58522094318602
SRR11917117_2	4.394108181705657	66.79044436192602
SRR11917118_1	13.535048993216323	64.47722623021434
SRR11917118_2	5.222353827931517	63.47582642403364
SRR11917119_1	17.00409737286093	64.178115208484
SRR11917119_2	6.152084839720414	58.35140997830804
SRR11917120_1	24.31329461622979	70.2244545597238
SRR11917120_2	11.583738816512321	77.88416261183488
SRR11917121_1	15.625832815137247	63.16070000888337
SRR11917121_2	6.387136892600159	60.90432619703298
SRR11917122_1	9.57135653050933	84.85123550176502
SRR11917122_2	4.246091780131114	80.33282904689861
SRR11917123_1	30.697066856667853	65.740410877568
SRR11917123_2	11.66132288326802	81.65301033131459
SRR11917124_1	19.598130841121495	69.14485981308414
SRR11917124_2	5.892523364485982	72.89719626168234
SRR11917125_1	14.285714285714285	85.7142857142857
SRR11917125_2	14.285714285714285	85.7142857142857
SRR11917126_1	14.869505494505495	70.8791208791208
SRR11917126_2	4.052197802197802	69.36813186813147
SRR11917127_1	9.726213282247766	79.40613026819919
SRR11917127_2	3.5839719029374204	72.35791826309075
SRR11917128_1	11.723768736616702	76.65952890792292
SRR11917128_2	4.057815845824411	69.29336188436831
SRR11917129_1	20.10240849611227	65.25064795499087
SRR11917129_2	5.645110310386245	69.13837789999371
SRR11917130_1	21.752403221616003	63.11379579111458
SRR11917130_2	8.398285268901013	70.08313847752663
SRR11917131_1	25.055362227143306	58.52578298006958
SRR11917131_2	8.775703891173679	63.005378044922466
SRR11917132_1	18.951000690131124	59.323671497584655
SRR11917132_2	6.956521739130435	47.8674948240165
SRR11917133_1	17.918544483391756	61.8844934067768
SRR11917133_2	4.836421298614589	63.95009180437324
SRR11917134_1	14.782608695652174	85.21739130434766
SRR11917134_2	5.217391304347826	94.7826086956519
SRR11917135_1	20.222459366278116	75.14365457231986
SRR11917135_2	5.766704974552619	87.57593170251195
SRR11917136_1	29.408766564729866	67.22731906218141
SRR11917136_2	11.773700305810397	82.0081549439348
SRR11917137_1	27.319148936170212	62.723404255319195
SRR11917137_2	7.0638297872340425	78.57021276595748
SRR11917138_1	21.62608957018335	65.85512473700031
SRR11917138_2	5.846107604448452	69.80763450556056
SRR11917139_1	12.246663371230845	71.24320316361838
SRR11917139_2	4.807217004448838	72.02174987642123
SRR11917140_1	15.219066816861327	72.19422541056501
SRR11917140_2	4.9267801031600165	72.2772277227723
SRR11917141_1	17.999730542955945	66.90169308842681
SRR11917141_2	5.24992140836215	65.96308438496432
SRR11917142_1	20.85201793721973	68.14349775784754
SRR11917142_2	7.3273542600896855	73.60538116591924
SRR11917143_1	50.0	50.0
SRR11917143_2	25.0	75.0
SRR11917144_1	8.043949582919927	77.66876125381256
SRR11917144_2	2.822180575460258	76.10333296586191
SRR11917145_1	14.184107259646828	71.01046435578816
SRR11917145_2	5.068672334859385	73.34041857423153
SRR11917146_1	6.1381388769297	71.69567624085123
SRR11917146_2	1.8082292883941202	53.490374561781195
SRR11917147_1	22.369729223931223	64.14995028949059
SRR11917147_2	8.959588280016376	72.21474940054974
SRR11917148_1	10.745347423548116	64.90227251472916
SRR11917148_2	4.479566071261573	51.13625736463109
SRR11917149_1	23.762541806020067	72.03177257525083
SRR11917149_2	6.914715719063545	87.29096989966554
SRR11917150_1	24.895330112721417	70.22544283413848
SRR11917150_2	7.584541062801932	84.09017713365539
SRR11917151_1	4.231380701968937	71.39537727773016
SRR11917151_2	1.1984835514247278	57.466063348416256
SRR11917152_1	12.434627030002753	71.77952105697771
SRR11917152_2	4.190751445086705	76.55518854940813
SRR11917153_1	5.194805194805195	94.80519480519494
SRR11917153_2	2.272727272727273	97.72727272727298
SRR11917154_1	4.750922509225092	71.32533825338255
SRR11917154_2	1.4760147601476015	54.935424354243466
SRR11917155_1	13.57210179076343	76.48873275640474
SRR11917155_2	6.494730528660783	66.55813554965304
SRR11917156_1	10.207270076033746	75.57025309863555
SRR11917156_2	2.421622747630455	55.90563482970527
SRR11917157_1	20.13885984357355	68.85273328035467
SRR11917157_2	8.185202225103518	75.0805136141202
SRR11917158_1	8.180718728403594	72.43002764340014
SRR11917158_2	2.531098825155494	47.663268832066365
SRR11917159_1	14.97140413704634	68.24522956865682
SRR11917159_2	5.537441872895398	67.05863488160776
SRR11917160_1	15.746606334841628	63.90271493212684
SRR11917160_2	6.719457013574661	57.9864253393666
SRR11917161_1	14.229128580134065	80.7739183424741
SRR11917161_2	6.017672151127361	83.43997562461905
SRR11917162_1	15.384615384615385	84.61538461538468
SRR11917162_2	7.6923076923076925	92.30769230769235
SRR11917163_1	14.082678663354148	76.4721681326798
SRR11917163_2	5.7387139371964455	75.21430649745963
SRR11917164_1	12.518665138729729	75.47140327117414
SRR11917164_2	10.171198388721049	62.789526686807704
SRR11917165_1	13.514104526568993	76.49245571834672
SRR11917165_2	3.411327356221299	79.75071069319912
SRR11917166_1	29.804050716285197	66.65568911575826
SRR11917166_2	14.226905977276468	77.1118063560019
SRR11917167_1	15.339918651946544	70.0174317257408
SRR11917167_2	3.2539221382916907	66.18245206275417
SRR11917168_1	14.565164235063982	72.77691743418376
SRR11917168_2	4.841470372483495	64.14540712364503
SRR11917169_1	13.769155979443493	69.98935135885922
SRR11917169_2	4.6483633501551	63.882587156812825
SRR11917170_1	16.575780792284466	65.92455721303348
SRR11917170_2	5.813691468745775	62.48140970751271
SRR11917171_1	10.47383671382308	66.63541844213414
SRR11917171_2	3.6219532981080618	48.24441793079935
SRR11917172_1	12.332531776021986	80.99164090232455
SRR11917172_2	3.629909538532005	83.87724722317647
SRR11917173_1	13.333333333333334	86.66666666666669
SRR11917173_2	6.666666666666667	93.33333333333334
SRR11917174_1	6.38776073498679	71.57446472930883
SRR11917174_2	1.8295808524900439	44.974567248925496
SRR11917175_1	8.267445857683052	73.56479889996577
SRR11917175_2	2.578205568924029	61.22378824338238
SRR11917176_1	12.103981627514457	76.12683655681911
SRR11917176_2	4.78127334606126	76.41183143797899
SRR11917177_1	10.31878742111225	76.29861373321107
SRR11917177_2	2.7185932358811153	69.59382922487727
SRR11917178_1	5.956981407218374	75.9788552679548
SRR11917178_2	2.078016769959898	58.66569449507836
SRR11917179_1	12.820319565872776	72.98010250226108
SRR11917179_2	4.60506481760627	62.428399155863765
SRR11917180_1	21.810933940774486	74.54441913439632
SRR11917180_2	6.83371298405467	85.82004555808649
SRR11917181_1	8.439357742096783	69.17050947274844
SRR11917181_2	3.0668370465025836	56.79204400244453
SRR11917182_1	11.627906976744185	88.37209302325577
SRR11917182_2	6.976744186046512	93.0232558139534
SRR11917183_1	11.858974358974358	88.1410256410255
SRR11917183_2	4.487179487179487	95.51282051282027
SRR11917184_1	17.37099644128114	74.25266903914586
SRR11917184_2	11.129893238434164	71.09875444839858
SRR11917185_1	15.955555555555556	74.08888888888902
SRR11917185_2	4.977777777777778	78.31111111111125
SRR11917186_1	11.974340698503209	75.66821097647896
SRR11917186_2	4.125089094796864	78.46578759800428
SRR11917187_1	14.81581798483207	69.98916576381392
SRR11917187_2	4.6316359696641385	64.62621885157105
SRR11917188_1	9.995464104573006	80.42554946187786
SRR11917188_2	3.9792173518617786	76.1906725495856
SRR11917189_1	26.08340147179068	61.755742213632644
SRR11917189_2	6.392626180034193	59.050026016501896
SRR11917190_1	30.587971274685817	57.88599640933576
SRR11917190_2	9.026032315978457	67.54937163375226
SRR11917191_1	11.11111111111111	88.88888888888901
SRR11917191_2	7.017543859649122	92.98245614035098
SRR11917192_1	27.850938638274027	60.86672270477257
SRR11917192_2	9.031474736153918	66.90015877463335
SRR11917193_1	25.49252941954251	58.46886156287188
SRR11917193_2	8.343250033055666	64.81554938516457
SRR11917194_1	25.753468991464057	61.531615356608256
SRR11917194_2	9.567539139932846	67.11436546785873
SRR11917195_1	10.638297872340425	89.36170212765975
SRR11917195_2	4.964539007092199	95.03546099290793
SRR11917196_1	7.8502624444828975	77.98350348964645
SRR11917196_2	2.457172521197439	68.28170963834577
SRR11917197_1	19.259413934711493	65.90102317811656
SRR11917197_2	6.06946474559755	66.30472610844299
SRR11917198_1	27.589178011373427	58.926417370325716
SRR11917198_2	6.651731862829571	65.2248836808547
SRR11917199_1	25.2501191043354	57.90852787041449
SRR11917199_2	9.337779895188184	71.01000476417349
SRR11917200_1	23.832435206569155	55.741596099563736
SRR11917200_2	9.199384141647421	61.57942006671802
SRR11917201_1	19.80740181268882	75.14161631419941
SRR11917201_2	6.0234138972809665	84.15785498489439
SRR11917202_1	25.229316546762593	67.49999999999999
SRR11917202_2	7.045863309352518	80.5553057553957
SRR11917203_1	12.383770076077768	79.11031276415889
