Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67
SRR11917047_1	(1, 0.005026135906714918)	(2, 0.005026135906714918)	(3, 0.005026135906714918)	(4, 0.005026135906714918)	(5, 0.005026135906714918)	(6, 0.005026135906714918)	(7, 0.005026135906714918)	(8, 0.005026135906714918)	(9, 0.005026135906714918)	(10, 0.005026135906714918)	(15, 0.005026135906714918)	(20, 0.005026135906714918)	(25, 0.005026135906714918)	(30, 0.005026135906714918)	(35, 0.0010052676022357153)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 0.0)	(285, 0.0)	(290, 0.0)	(295, 0.0)	(300, 0.0)
SRR11917047_2	(1, 0.005026135906714918)	(2, 0.005026135906714918)	(3, 0.005026135906714918)	(4, 0.005026135906714918)	(5, 0.005026135906714918)	(6, 0.005026135906714918)	(7, 0.005026135906714918)	(8, 0.005026135906714918)	(9, 0.005026135906714918)	(10, 0.005026135906714918)	(15, 0.005026135906714918)	(20, 0.005026135906714918)	(25, 0.005026135906714918)	(30, 0.005026135906714918)	(35, 0.0010052676022357153)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 0.0)	(285, 0.0)	(290, 0.0)	(295, 0.0)	(300, 0.0)
SRR11917048_1	(1, 1.2301101591187271)	(2, 1.2301101591187271)	(3, 1.2301101591187271)	(4, 1.2301101591187271)	(5, 1.2301101591187271)	(6, 1.2301101591187271)	(7, 1.2301101591187271)	(8, 1.2301101591187271)	(9, 1.2301101591187271)	(10, 1.2301101591187271)	(15, 1.2301101591187271)	(20, 1.2301101591187271)	(25, 1.2301101591187271)	(30, 1.2301101591187271)	(35, 0.24846921536470995)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 0.0)	(285, 0.0)	(290, 0.0)	(295, 0.0)	(300, 0.0)
SRR11917048_2	(1, 1.2035903712770297)	(2, 1.2035903712770297)	(3, 1.2035903712770297)	(4, 1.2035903712770297)	(5, 1.2035903712770297)	(6, 1.2035903712770297)	(7, 1.2035903712770297)	(8, 1.2035903712770297)	(9, 1.2035903712770297)	(10, 1.2035903712770297)	(15, 1.2035903712770297)	(20, 1.2035903712770297)	(25, 1.2035903712770297)	(30, 1.2035903712770297)	(35, 0.24306041905264114)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 0.0)	(285, 0.0)	(290, 0.0)	(295, 0.0)	(300, 0.0)
SRR11917049_1	(1, 0.06689776804719333)	(2, 0.06689776804719333)	(3, 0.06689776804719333)	(4, 0.06689776804719333)	(5, 0.06689776804719333)	(6, 0.06689776804719333)	(7, 0.06689776804719333)	(8, 0.06689776804719333)	(9, 0.06689776804719333)	(10, 0.06689776804719333)	(15, 0.06689776804719333)	(20, 0.06689776804719333)	(25, 0.06689776804719333)	(30, 0.06689776804719333)	(35, 0.013386717941852965)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 0.0)	(285, 0.0)	(290, 0.0)	(295, 0.0)	(300, 0.0)
SRR11917049_2	(1, 0.06689776804719333)	(2, 0.06689776804719333)	(3, 0.06689776804719333)	(4, 0.06689776804719333)	(5, 0.06689776804719333)	(6, 0.06689776804719333)	(7, 0.06689776804719333)	(8, 0.06689776804719333)	(9, 0.06689776804719333)	(10, 0.06689776804719333)	(15, 0.06689776804719333)	(20, 0.06689776804719333)	(25, 0.06689776804719333)	(30, 0.06689776804719333)	(35, 0.013386717941852965)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 0.0)	(285, 0.0)	(290, 0.0)	(295, 0.0)	(300, 0.0)
SRR11917050_1	(1, 0.06976419701409237)	(2, 0.06976419701409237)	(3, 0.06976419701409237)	(4, 0.06976419701409237)	(5, 0.06976419701409237)	(6, 0.06976419701409237)	(7, 0.06976419701409237)	(8, 0.06976419701409237)	(9, 0.06976419701409237)	(10, 0.06976419701409237)	(15, 0.06976419701409237)	(20, 0.06976419701409237)	(25, 0.06976419701409237)	(30, 0.06976419701409237)	(35, 0.013960631020522129)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 0.0)	(285, 0.0)	(290, 0.0)	(295, 0.0)	(300, 0.0)
SRR11917050_2	(1, 0.06976419701409237)	(2, 0.06976419701409237)	(3, 0.06976419701409237)	(4, 0.06976419701409237)	(5, 0.06976419701409237)	(6, 0.06976419701409237)	(7, 0.06976419701409237)	(8, 0.06976419701409237)	(9, 0.06976419701409237)	(10, 0.06976419701409237)	(15, 0.06976419701409237)	(20, 0.06976419701409237)	(25, 0.06976419701409237)	(30, 0.06976419701409237)	(35, 0.013960631020522129)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 0.0)	(285, 0.0)	(290, 0.0)	(295, 0.0)	(300, 0.0)
SRR11917051_1	(1, 2.8574540701474116)	(2, 2.8574540701474116)	(3, 2.8574540701474116)	(4, 2.8574540701474116)	(5, 2.8574540701474116)	(6, 2.8574540701474116)	(7, 2.8574540701474116)	(8, 2.8574540701474116)	(9, 2.8574540701474116)	(10, 2.8574540701474116)	(15, 2.8574540701474116)	(20, 2.8574540701474116)	(25, 2.8574540701474116)	(30, 2.8574540701474116)	(35, 0.5849170190785513)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 0.0)	(285, 0.0)	(290, 0.0)	(295, 0.0)	(300, 0.0)
SRR11917051_2	(1, 2.853823251760947)	(2, 2.853823251760947)	(3, 2.853823251760947)	(4, 2.853823251760947)	(5, 2.853823251760947)	(6, 2.853823251760947)	(7, 2.853823251760947)	(8, 2.853823251760947)	(9, 2.853823251760947)	(10, 2.853823251760947)	(15, 2.853823251760947)	(20, 2.853823251760947)	(25, 2.853823251760947)	(30, 2.853823251760947)	(35, 0.5841868208642398)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 0.0)	(285, 0.0)	(290, 0.0)	(295, 0.0)	(300, 0.0)
