Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67
SRR11917047_1	(1, 33.7705066344994)	(2, 33.71888821873743)	(3, 33.66028347406514)	(4, 33.684358665058305)	(5, 33.73522316043426)	(6, 37.567651789304385)	(7, 37.567953357458784)	(8, 37.26854644149578)	(9, 36.90706674708484)	(10, 37.250080418174505)	(15, 37.051980297547246)	(20, 37.01858665058303)	(25, 36.674788902291915)	(30, 37.00167872939285)	(35, 36.83628066549222)	(40, 36.65192259361648)	(45, 36.883025885900985)	(50, 36.74094998743403)	(55, 36.64289519979894)	(60, 36.60581050515205)	(65, 36.14146267906509)	(70, 36.64685599396833)	(75, 36.35195777833627)	(80, 36.73427494345313)	(85, 35.79217893943202)	(90, 36.61627544609199)	(95, 36.5665242523247)	(100, 36.086584568987185)	(105, 36.20001005277708)	(110, 36.013722040713745)	(115, 35.610645890927366)	(120, 35.263451678161665)	(125, 35.49812003619182)	(130, 35.44803458329145)	(135, 35.23481451693978)	(140, 34.955644918065744)	(145, 34.68804664723032)	(150, 34.88783552829999)	(155, 34.14626520558962)	(160, 35.0518347240374)	(165, 34.57623404041419)	(170, 34.42642002613853)	(175, 34.40963583292146)	(180, 34.66973049074819)	(185, 33.62635760257442)	(190, 32.291110217216406)	(195, 33.25504590263456)	(200, 33.809021422106)	(205, 32.8119481041939)	(210, 32.983465754802374)	(215, 32.22704415166449)	(220, 31.381011767072312)	(225, 33.10778437091422)	(230, 29.689037513828822)	(235, 30.86291863622649)	(240, 29.934945656688438)	(245, 28.502941713509006)	(250, 29.49977358490566)	(255, 28.39065134437326)	(260, 30.44231835530183)	(265, 28.18562965786371)	(270, 27.64457655297496)	(275, 25.975827497606936)	(280, 28.83217607578491)	(285, 24.020711077229333)	(290, 23.43158637612131)	(295, 14.982925118294554)	(300, 20.113242955747953)
SRR11917047_2	(1, 33.08614796944109)	(2, 33.24366706875754)	(3, 32.921743063932446)	(4, 33.440289505428225)	(5, 33.3818858061922)	(6, 36.89877362283876)	(7, 36.61248492159228)	(8, 35.21446521913953)	(9, 34.93079010856454)	(10, 35.910745878568555)	(15, 36.30234217933253)	(20, 36.18355448331323)	(25, 36.124738640932854)	(30, 35.654945717732204)	(35, 35.315661102472745)	(40, 35.3648957024378)	(45, 34.716933902990704)	(50, 35.27991957778336)	(55, 35.194842925358124)	(60, 33.9903593867806)	(65, 34.53372204071375)	(70, 33.57670771550641)	(75, 34.653309876853484)	(80, 34.43718522241769)	(85, 33.67057049509927)	(90, 33.8278361397336)	(95, 33.515013822568484)	(100, 33.151887408896705)	(105, 33.60354863030913)	(110, 33.35685348077406)	(115, 33.29677808494597)	(120, 32.10243217830576)	(125, 30.72227807379109)	(130, 32.5128078817734)	(135, 31.156660299587816)	(140, 31.85827887805369)	(145, 30.377279581783455)	(150, 29.817935055795715)	(155, 29.40879662209711)	(160, 28.69829094199256)	(165, 28.07233336684427)	(170, 26.622217754096717)	(175, 28.284091255795126)	(180, 28.38547081594691)	(185, 25.755970036700017)	(190, 28.84522648433965)	(195, 26.376916442588374)	(200, 25.007672582834736)	(205, 22.592116245160643)	(210, 24.843732716577)	(215, 24.933933329981393)	(220, 23.923756850520384)	(225, 19.253698024033383)	(230, 19.45148574588969)	(235, 20.36304489919051)	(240, 19.704590934276403)	(245, 19.12680347834302)	(250, 18.02058838320342)	(255, 17.441906484846886)	(260, 15.8262689270084)	(265, 17.965328425471057)	(270, 13.8726815277009)	(275, 16.991556383032254)	(280, 13.333658732954259)	(285, 12.271071302772606)	(290, 14.306557441109607)	(295, 11.590974779885766)	(300, 12.642091164874941)
SRR11917048_1	(1, 33.27572419420645)	(2, 33.334292125663)	(3, 33.251509587923294)	(4, 33.31199510403917)	(5, 33.389392084863324)	(6, 37.08912688698491)	(7, 37.07666258669931)	(8, 36.82621379028968)	(9, 36.31980824153407)	(10, 36.723039575683394)	(15, 36.643602611179105)	(20, 36.543610771113826)	(25, 35.99010607915137)	(30, 36.40371277029783)	(35, 36.6234972489925)	(40, 36.31491550634219)	(45, 36.375746808246916)	(50, 36.462150604276424)	(55, 36.83920533799376)	(60, 36.561689116601926)	(65, 36.13485560690104)	(70, 36.5333368106729)	(75, 35.812903492457124)	(80, 36.45149457812893)	(85, 35.32502997477984)	(90, 35.98980030594947)	(95, 36.18726175218093)	(100, 35.7929209394641)	(105, 35.649764306979826)	(110, 35.290579456565204)	(115, 34.892547574182586)	(120, 34.81235287005202)	(125, 35.202787557470074)	(130, 35.016260852954474)	(135, 34.694887517089946)	(140, 34.4454323238182)	(145, 34.09488839304375)	(150, 34.05255350446475)	(155, 33.43453291068432)	(160, 34.512312286810335)	(165, 34.28245555877844)	(170, 33.75113717252626)	(175, 33.824520998756874)	(180, 34.08835653379359)	(185, 33.43193475453026)	(190, 32.06230084054698)	(195, 32.49701026086582)	(200, 33.37090078000503)	(205, 32.518580840082244)	(210, 32.458155343879824)	(215, 32.112770030178055)	(220, 30.86259397029358)	(225, 32.4485058339629)	(230, 30.27106098384325)	(235, 29.978866736621193)	(240, 29.38685434700468)	(245, 27.861985108693226)	(250, 29.434342790771332)	(255, 27.553054527095252)	(260, 29.210885862165014)	(265, 26.61829691422359)	(270, 26.426764141079037)	(275, 24.503785643007284)	(280, 27.759968265319724)	(285, 22.847335632922626)	(290, 24.001798438914655)	(295, 15.759215426314626)	(300, 19.40542601246309)
SRR11917048_2	(1, 32.69279885760914)	(2, 32.31570787433701)	(3, 32.63251733986128)	(4, 33.10809873521012)	(5, 32.81354549163607)	(6, 35.98406772745818)	(7, 36.15010199918401)	(8, 34.84751121991024)	(9, 34.394798041615665)	(10, 35.50933496532028)	(15, 36.036323949408406)	(20, 35.484765401876786)	(25, 35.37307629538964)	(30, 35.112966136270906)	(35, 35.05792375525463)	(40, 35.423531112533816)	(45, 34.08310030771772)	(50, 34.850552446252664)	(55, 34.450248057787185)	(60, 33.578273440726974)	(65, 34.23679991722402)	(70, 32.9371483060325)	(75, 34.21203082071516)	(80, 34.176284275682384)	(85, 33.276804496518096)	(90, 33.779290393238696)	(95, 33.306366623271956)	(100, 32.14891295362487)	(105, 33.249995866743824)	(110, 32.94526649612412)	(115, 32.83762831125828)	(120, 31.74699487186523)	(125, 31.25787556401871)	(130, 32.073631480237125)	(135, 29.973139828578525)	(140, 31.057301975073493)	(145, 30.282017098842363)	(150, 29.738548503985918)	(155, 28.810059012320114)	(160, 28.764084930365748)	(165, 30.28106182962687)	(170, 28.426795269614352)	(175, 27.428159418246715)	(180, 27.80172499792169)	(185, 24.10597274680141)	(190, 27.3256355359704)	(195, 25.990520389196377)	(200, 24.240875669145368)	(205, 21.371183333333335)	(210, 23.538949999999996)	(215, 23.5620375)	(220, 23.07803619474251)	(225, 19.158999895822483)	(230, 19.38344260951501)	(235, 19.9377534223741)	(240, 19.342784664307704)	(245, 18.508503763003727)	(250, 17.6497603896837)	(255, 16.944972993263956)	(260, 15.824165246941892)	(265, 16.455971328434412)	(270, 14.351316010341682)	(275, 17.085779470864033)	(280, 13.441832719356999)	(285, 12.448621449460818)	(290, 14.202317764715094)	(295, 11.839416324869555)	(300, 12.499148377760807)
SRR11917049_1	(1, 33.46804111171927)	(2, 33.361126315149306)	(3, 33.504165906464756)	(4, 33.63911694946178)	(5, 33.65462506841817)	(6, 37.41580003648969)	(7, 37.31898072127957)	(8, 37.00565590220763)	(9, 36.495408380465854)	(10, 36.89205132883294)	(15, 36.772267834336795)	(20, 36.728334245575624)	(25, 35.936739037888465)	(30, 36.41976524965031)	(35, 36.5204783634545)	(40, 36.12097896952697)	(45, 36.07237979306147)	(50, 36.069884357881925)	(55, 36.58805842970177)	(60, 36.056713329275716)	(65, 35.66365185636032)	(70, 36.42573341448569)	(75, 35.652404138770535)	(80, 36.331016433353625)	(85, 34.907948874010955)	(90, 35.56249543517955)	(95, 35.767802799756545)	(100, 35.40714546561169)	(105, 35.42471089470481)	(110, 34.87167376749848)	(115, 34.94724538868935)	(120, 34.71058622998722)	(125, 34.993620259329155)	(130, 34.64374505387472)	(135, 34.57429841115237)	(140, 34.4109575698545)	(145, 33.71565106227552)	(150, 33.50924697144944)	(155, 32.89575698545078)	(160, 34.011193569761204)	(165, 33.83572602739726)	(170, 33.164855836901715)	(175, 33.05618754321402)	(180, 33.74472651459406)	(185, 33.13975962717684)	(190, 31.556585724797646)	(195, 32.124701890449344)	(200, 32.6320981595092)	(205, 31.929418982759678)	(210, 31.923970795754343)	(215, 31.31224001472483)	(220, 30.70601877415793)	(225, 32.0295846370943)	(230, 29.977213325970915)	(235, 29.519630566808893)	(240, 28.962363072709543)	(245, 27.509652462237504)	(250, 29.084642020203802)	(255, 26.65600049134013)	(260, 28.82167845513053)	(265, 25.602417269607223)	(270, 25.585267567850302)	(275, 23.507133667061844)	(280, 27.018456995201184)	(285, 22.507920019548983)	(290, 22.326370010456372)	(295, 14.732720079630406)	(300, 18.194934671557434)
SRR11917049_2	(1, 33.036307243203794)	(2, 33.04117253542541)	(3, 33.17983336374141)	(4, 33.62117618439458)	(5, 33.458188894970505)	(6, 36.84437146506112)	(7, 36.84966247035212)	(8, 35.59855257556407)	(9, 35.21115368241805)	(10, 36.21499726327312)	(15, 36.787459709298794)	(20, 36.297841026576656)	(25, 36.16769445964848)	(30, 35.997153804050356)	(35, 35.72971704470685)	(40, 35.89798308868107)	(45, 34.762410225197804)	(50, 35.40488131466829)	(55, 34.975009129640895)	(60, 34.113974437005474)	(65, 34.668447961046866)	(70, 33.698332318928784)	(75, 34.62090079123554)	(80, 34.686585514303104)	(85, 33.6108703590992)	(90, 34.397601947656725)	(95, 34.01289105295192)	(100, 32.966670724284846)	(105, 33.86712111990262)	(110, 33.7722824102252)	(115, 33.51280740199659)	(120, 32.60934989043098)	(125, 32.05618456294132)	(130, 32.93753347942537)	(135, 30.97464085707329)	(140, 31.995215485756024)	(145, 31.32358168979791)	(150, 30.497954711468225)	(155, 29.694533722912105)	(160, 29.959706116689922)	(165, 31.786704815243194)	(170, 29.445510440129055)	(175, 28.629865265617884)	(180, 28.57093839672752)	(185, 25.454081445753708)	(190, 28.31653947127419)	(195, 27.839369573681438)	(200, 25.997679389312975)	(205, 23.597887022900764)	(210, 25.05606106870229)	(215, 25.68769465648855)	(220, 24.430424427480915)	(225, 21.36857404580153)	(230, 21.10229007633588)	(235, 22.149080916030535)	(240, 20.783456324113942)	(245, 20.028643001160873)	(250, 19.267116443852963)	(255, 18.35982890314696)	(260, 16.443280870462605)	(265, 17.286399933389184)	(270, 15.464380044020544)	(275, 17.967192467595986)	(280, 14.01085840058694)	(285, 12.963180624345444)	(290, 14.60068275392527)	(295, 11.873073286122768)	(300, 12.398130807014285)
SRR11917050_1	(1, 33.54025394167713)	(2, 33.61950606948514)	(3, 33.5193246825729)	(4, 33.62166875959258)	(5, 33.73950048834938)	(6, 37.49609320496721)	(7, 37.361099483744944)	(8, 37.06348541928283)	(9, 36.428631226454584)	(10, 37.022101297614064)	(15, 37.059718152644066)	(20, 36.89708385656481)	(25, 36.35383005441607)	(30, 36.794223524487236)	(35, 36.75002395867341)	(40, 36.16161686679698)	(45, 36.143088522759)	(50, 36.300572465791674)	(55, 36.85822395978777)	(60, 36.52886065344876)	(65, 36.021013683328675)	(70, 36.45601787210277)	(75, 35.7030438425021)	(80, 36.4874755654845)	(85, 34.93430605975985)	(90, 35.782449036581966)	(95, 36.12151633621893)	(100, 35.63951410220609)	(105, 35.62333147165596)	(110, 34.98385925719073)	(115, 34.721203658451444)	(120, 34.48460518047895)	(125, 35.00619981847379)	(130, 34.87395098792153)	(135, 34.69902744462825)	(140, 34.37550991897178)	(145, 33.9207599888237)	(150, 33.81817546800782)	(155, 32.90368818105616)	(160, 34.43623917295334)	(165, 34.083012014529196)	(170, 33.44038837664152)	(175, 33.58137601874954)	(180, 34.01122777544449)	(185, 33.48366232675346)	(190, 31.922665546689064)	(195, 32.114938042343965)	(200, 33.27564237205069)	(205, 32.26968699670891)	(210, 32.215601148378965)	(215, 31.657785965447033)	(220, 30.353445378151257)	(225, 32.27271708683473)	(230, 29.83394957983193)	(235, 29.24315447181744)	(240, 29.058757616079554)	(245, 26.938272988304504)	(250, 29.068212059668042)	(255, 26.664108130821482)	(260, 28.999257651096013)	(265, 25.207220340604074)	(270, 25.778812796568836)	(275, 23.832338517584418)	(280, 27.238628490631278)	(285, 22.420598749704627)	(290, 22.076937990416308)	(295, 14.45729079014431)	(300, 19.161297135848805)
SRR11917050_2	(1, 33.25924375610437)	(2, 33.07381052044091)	(3, 33.044788614483046)	(4, 33.52106878749826)	(5, 33.412515696944325)	(6, 36.84491419003767)	(7, 36.62927305706711)	(8, 35.43728198688433)	(9, 35.032021766429466)	(10, 36.3084275149993)	(15, 36.782768243337514)	(20, 36.13790986465746)	(25, 36.078652155713684)	(30, 35.98880982279894)	(35, 35.61647325366149)	(40, 35.8479754258587)	(45, 34.43542306618263)	(50, 35.418388718235136)	(55, 34.83602345713488)	(60, 33.76614074280927)	(65, 34.607483943032676)	(70, 33.27855347668249)	(75, 34.719980452387595)	(80, 34.684389835241554)	(85, 33.78381736944988)	(90, 34.53256073722424)	(95, 33.962524434515494)	(100, 32.577366657358276)	(105, 33.90904775202457)	(110, 33.619645350460765)	(115, 33.493555819311595)	(120, 32.48928297144453)	(125, 32.06617328771905)	(130, 32.64634503944704)	(135, 30.323976410115485)	(140, 31.613437630954046)	(145, 31.138413186199195)	(150, 30.532015644643103)	(155, 29.334124877776226)	(160, 29.195166922754574)	(165, 31.165595753596868)	(170, 29.36186618242771)	(175, 27.759462881165483)	(180, 27.986877227307662)	(185, 24.299559779190837)	(190, 27.78956047795402)	(195, 26.532725838282524)	(200, 24.716947375777487)	(205, 21.427858540676546)	(210, 24.064565278166064)	(215, 24.031716522225327)	(220, 23.718996365669554)	(225, 19.44027117696394)	(230, 19.622504892367907)	(235, 20.322882303606374)	(240, 19.588859379368188)	(245, 18.923553256919206)	(250, 17.804249370981267)	(255, 17.148140900195695)	(260, 15.80896002236511)	(265, 16.475388255917302)	(270, 14.297553474066826)	(275, 17.1585768209143)	(280, 13.515318626438955)	(285, 12.500051815395972)	(290, 14.298844550029845)	(295, 11.752457708654607)	(300, 12.679278296611358)
SRR11917051_1	(1, 32.72024544332292)	(2, 32.79202672282332)	(3, 32.73081112482754)	(4, 32.79148210006535)	(5, 32.89325393943795)	(6, 36.51641129910682)	(7, 36.48435117275434)	(8, 36.298053881344856)	(9, 35.920049379130056)	(10, 36.18414058528792)	(15, 36.03817442451528)	(20, 35.901140076973356)	(25, 35.25060634667054)	(30, 35.66599375499238)	(35, 36.169508534338505)	(40, 36.23796881426916)	(45, 36.27607224320383)	(50, 36.48917013835198)	(55, 36.65676709371972)	(60, 36.46487683295687)	(65, 35.96101214062598)	(70, 36.383594785767144)	(75, 35.330485641029306)	(80, 36.183098427629446)	(85, 35.35407662144972)	(90, 35.905673679079015)	(95, 35.83423930631453)	(100, 35.393294832370806)	(105, 35.505586763229076)	(110, 35.17930053719641)	(115, 34.28578401922499)	(120, 34.26230850260356)	(125, 34.77819438704587)	(130, 34.351128977721004)	(135, 34.30427922004734)	(140, 34.31122966525153)	(145, 33.688076483839794)	(150, 33.583934475503455)	(155, 33.20224676886083)	(160, 34.04739609850294)	(165, 33.19911321534589)	(170, 33.5605396795592)	(175, 33.45555575422043)	(180, 33.84312502348653)	(185, 33.40592987862162)	(190, 32.22650928828631)	(195, 32.01692602761485)	(200, 32.80818847209515)	(205, 31.897523857338847)	(210, 31.922693952351864)	(215, 31.489767868051313)	(220, 29.805810759701377)	(225, 31.320412371134022)	(230, 29.17479190530737)	(235, 29.85699121802214)	(240, 28.808530592045507)	(245, 28.110108973042195)	(250, 28.648289561899826)	(255, 27.47285739108159)	(260, 29.650130348106114)	(265, 27.090426684444793)	(270, 26.22888281355576)	(275, 24.772784980571693)	(280, 27.702458354172272)	(285, 22.783736131484783)	(290, 22.77161199923426)	(295, 15.146125711047887)	(300, 19.348176284354082)
SRR11917051_2	(1, 32.19620942560453)	(2, 32.42734732408685)	(3, 32.39953525524653)	(4, 32.65699658703072)	(5, 32.62598939801031)	(6, 35.80520659356619)	(7, 36.11502432648319)	(8, 34.824014232808075)	(9, 34.331275869581006)	(10, 35.21108125771549)	(15, 35.472369472079)	(20, 35.345080241086336)	(25, 35.24854404182703)	(30, 34.9003485585651)	(35, 35.406787105870634)	(40, 35.71424618606043)	(45, 34.80257253963506)	(50, 35.26407464684029)	(55, 35.06796679449586)	(60, 34.171347804648626)	(65, 34.761329489600406)	(70, 33.70971823028096)	(75, 34.896904254031355)	(80, 34.705435368890434)	(85, 34.02730845631354)	(90, 34.23180983090248)	(95, 33.139112027029014)	(100, 33.28091488563929)	(105, 33.86105322477814)	(110, 33.67934988372459)	(115, 33.524013664176586)	(120, 32.583270766703876)	(125, 31.26600563380282)	(130, 32.905239436619716)	(135, 30.88840563380281)	(140, 31.84500281690141)	(145, 30.695263849765258)	(150, 30.243034741784037)	(155, 30.189573708920186)	(160, 29.836367787745395)	(165, 30.252864064906284)	(170, 28.603229750910042)	(175, 28.372760641589032)	(180, 28.75698884339431)	(185, 27.338935426918596)	(190, 28.286495623755684)	(195, 27.10527556124283)	(200, 25.739642273952835)	(205, 22.116352716341687)	(210, 25.122477203647417)	(215, 24.89092705167173)	(220, 23.84338625487083)	(225, 19.34939777347164)	(230, 20.217371480679354)	(235, 20.78923211368213)	(240, 20.601633555540154)	(245, 19.310421917525264)	(250, 18.454175148571004)	(255, 17.61434084465018)	(260, 16.15866610834063)	(265, 18.02705175613082)	(270, 14.78902563896151)	(275, 17.462743453900977)	(280, 13.780386477112476)	(285, 12.612453029367067)	(290, 14.559256271146126)	(295, 11.88164480360235)	(300, 12.37506518183367)
