Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR11917047_1	(0.0, 0.011217364480215417)	(1.0, 0.005608682240107708)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0037391214934051386)	(32.0, 0.0037391214934051386)	(33.0, 0.11217364480215417)	(34.0, 0.4963683782495326)	(35.0, 0.16078222421642108)	(36.0, 0.05234770090767195)	(37.0, 0.07197808874804891)	(38.0, 0.04019555605410524)	(39.0, 0.07665199061480533)	(40.0, 0.19443431765706726)	(41.0, 0.27015152789852126)	(42.0, 0.06917374762799507)	(43.0, 0.0551520420277258)	(44.0, 0.024304289707133404)	(45.0, 0.054217261654374516)	(46.0, 0.047673799040915524)	(47.0, 0.0308477523205924)	(48.0, 0.08319545322826431)	(49.0, 0.19630387840376978)	(50.0, 0.6038681211849308)	(51.0, 10.38447516755981)	(52.0, 28.86227880759482)	(53.0, 12.079231984445604)	(54.0, 19.577105359095096)	(55.0, 18.23195640184274)	(56.0, 6.152724417398113)	(57.0, 1.4264748497340587)	(58.0, 0.37297736896716244)	(59.0, 0.12245622890901832)	(60.0, 0.05421726165437452)	(61.0, 0.022434728960430833)	(62.0, 0.016826046720323125)	(63.0, 0.0)	(64.0, 0.014021705600269267)	(65.0, 0.015891266346971838)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.002804341120053854)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR11917047_2	(0.0, 0.013206114430981757)	(1.0, 0.0066030572154908785)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.02090968118238778)	(33.0, 0.10124687730419343)	(34.0, 0.3488615228851011)	(35.0, 0.2333080216140111)	(36.0, 0.08583974380138142)	(37.0, 0.09354331055278743)	(38.0, 0.14196573013305389)	(39.0, 0.17938305435416885)	(40.0, 0.24321260743724737)	(41.0, 0.18708662110557492)	(42.0, 0.14966929688445993)	(43.0, 0.08914127240912685)	(44.0, 0.07483464844222995)	(45.0, 0.06823159122673907)	(46.0, 0.0638295530830785)	(47.0, 0.1045484059119389)	(48.0, 0.14636776827671447)	(49.0, 0.23110700254218083)	(50.0, 0.4534099287970402)	(51.0, 0.9123224052736566)	(52.0, 2.1294859519958087)	(53.0, 7.498871977725788)	(54.0, 22.443791475452933)	(55.0, 28.198355838752974)	(56.0, 19.404184137255612)	(57.0, 10.057556648728575)	(58.0, 4.0003521630515575)	(59.0, 1.4647781923030587)	(60.0, 0.48092266719491894)	(61.0, 0.15297082549220536)	(62.0, 0.06493006261899363)	(63.0, 0.05062343865209673)	(64.0, 0.013206114430981757)	(65.0, 0.0066030572154908785)	(66.0, 0.009904585823236316)	(67.0, 0.0077035667514060244)	(68.0, 0.0)	(69.0, 0.013206114430981757)	(70.0, 0.0066030572154908785)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0033015286077454392)	(74.0, 0.0)	(75.0, 0.0066030572154908785)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0033015286077454392)	(86.0, 0.0)	(87.0, 0.0066030572154908785)	(88.0, 0.0066030572154908785)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0033015286077454392)	(94.0, 0.0033015286077454392)	(95.0, 0.0033015286077454392)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0033015286077454392)	(99.0, 0.0033015286077454392)	(100.0, 0.004402038143660586)
SRR11917048_1	(0.0, 2.654915960682707)	(1.0, 1.3274579803413535)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.009539499029539853)	(32.0, 0.019445901867908167)	(33.0, 1.1458405949712795)	(34.0, 3.012280270481658)	(35.0, 0.7745339404368731)	(36.0, 0.21390492054698998)	(37.0, 0.24912768619452166)	(38.0, 0.1893223653554833)	(39.0, 0.5232048313893761)	(40.0, 0.705189120568293)	(41.0, 0.3786447307109664)	(42.0, 0.2898540089744802)	(43.0, 0.3133358527395014)	(44.0, 0.13685512069301395)	(45.0, 0.21830776625293155)	(46.0, 0.35993263646071494)	(47.0, 0.26196931950351815)	(48.0, 0.2227106119588729)	(49.0, 0.7103257738918912)	(50.0, 1.4947661171671274)	(51.0, 2.6226284255057966)	(52.0, 3.1106104912476837)	(53.0, 3.0324599799672085)	(54.0, 18.58881457048734)	(55.0, 38.612589937290636)	(56.0, 12.09425025041261)	(57.0, 2.307091149913317)	(58.0, 0.8666267964528145)	(59.0, 0.9645901134100123)	(60.0, 1.1414377492653287)	(61.0, 0.7022538900976647)	(62.0, 0.22564584242950048)	(63.0, 0.08365406841288794)	(64.0, 0.1563010225609221)	(65.0, 0.12291277595753265)	(66.0, 0.06714339701560745)	(67.0, 0.05393485989778303)	(68.0, 0.024949459000335)	(69.0, 0.009172595220711397)	(70.0, 0.0014676152353138236)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR11917048_2	(0.0, 3.004009589070108)	(1.0, 1.502004794535054)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0012728854190975033)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0012728854190975033)	(26.0, 0.0012728854190975033)	(27.0, 0.0012728854190975033)	(28.0, 0.0025457708381950066)	(29.0, 0.0)	(30.0, 0.004667246536690845)	(31.0, 0.019093281286462552)	(32.0, 0.0500668264845018)	(33.0, 0.538854827417941)	(34.0, 2.3298046120880875)	(35.0, 1.488427350064685)	(36.0, 0.5375819419988442)	(37.0, 0.3296773235462536)	(38.0, 0.4900608863525386)	(39.0, 0.6326240532914589)	(40.0, 0.6355941192693529)	(41.0, 0.7030570464815201)	(42.0, 0.5838301122260541)	(43.0, 0.4009589070157135)	(44.0, 0.26348728175318337)	(45.0, 0.2651844623119801)	(46.0, 0.38738146254534034)	(47.0, 0.4094448098096969)	(48.0, 0.4319324522137528)	(49.0, 0.6398370706663447)	(50.0, 1.1485669431656487)	(51.0, 1.6717228504147201)	(52.0, 2.1185056325179357)	(53.0, 3.3290196660796787)	(54.0, 9.106222288223236)	(55.0, 22.3344718586257)	(56.0, 22.470246303329013)	(57.0, 12.095805842543866)	(58.0, 5.281201603835572)	(59.0, 2.2941638203533934)	(60.0, 1.0679508666228077)	(61.0, 0.4573901605957027)	(62.0, 0.22190635806266487)	(63.0, 0.16674798990177292)	(64.0, 0.12262129537305946)	(65.0, 0.11540827799817362)	(66.0, 0.11031673632178361)	(67.0, 0.09461781615291444)	(68.0, 0.05303689246239598)	(69.0, 0.0462481702272093)	(70.0, 0.008910197933682525)	(71.0, 0.0025457708381950066)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0012728854190975033)	(75.0, 0.0025457708381950066)	(76.0, 0.0012728854190975033)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0012728854190975033)	(81.0, 0.0012728854190975033)	(82.0, 0.0012728854190975033)	(83.0, 0.0038186562572925103)	(84.0, 0.0012728854190975033)	(85.0, 0.0025457708381950066)	(86.0, 0.0012728854190975033)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0012728854190975033)	(90.0, 0.0012728854190975033)	(91.0, 0.0012728854190975033)	(92.0, 0.0012728854190975033)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0025457708381950066)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.001697180558796671)
SRR11917049_1	(0.0, 0.1482629645853698)	(1.0, 0.0741314822926849)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.00898563421729514)	(32.0, 0.18420550145455045)	(33.0, 4.969055722164165)	(34.0, 14.129909806697158)	(35.0, 4.337814918399217)	(36.0, 0.814323100942374)	(37.0, 0.478485022070966)	(38.0, 0.616639148161879)	(39.0, 0.5919286540643175)	(40.0, 0.9165346901641043)	(41.0, 0.7356988015410396)	(42.0, 0.31000438049668233)	(43.0, 0.27743145645898737)	(44.0, 0.15724859880266498)	(45.0, 0.2268872639867024)	(46.0, 0.30888117621952027)	(47.0, 3.6009929125810567)	(48.0, 3.530231043119859)	(49.0, 1.0962473745100068)	(50.0, 1.2130606193348432)	(51.0, 1.3489683368714311)	(52.0, 1.5511451067605684)	(53.0, 2.2542709842639197)	(54.0, 12.067706753827718)	(55.0, 29.416720018868496)	(56.0, 10.42670530489398)	(57.0, 1.931911356718454)	(58.0, 0.5121811503858228)	(59.0, 0.40435353977828126)	(60.0, 0.6840314047915925)	(61.0, 0.5166739674944705)	(62.0, 0.13815412609091277)	(63.0, 0.010108838494457031)	(64.0, 0.003369612831485677)	(65.0, 0.003369612831485677)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.003369612831485677)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR11917049_2	(0.0, 0.16611922830067546)	(1.0, 0.08305961415033773)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.007550874013667067)	(27.0, 0.00880935301594491)	(28.0, 0.005033916009111378)	(29.0, 0.0)	(30.0, 0.010067832018222755)	(31.0, 0.031461975056946104)	(32.0, 0.20009816136217734)	(33.0, 2.4641018864600235)	(34.0, 10.931148613785545)	(35.0, 6.508853399780906)	(36.0, 1.5743572318495787)	(37.0, 1.2760977083097336)	(38.0, 2.032443588678717)	(39.0, 2.126829513849556)	(40.0, 1.542895256792637)	(41.0, 0.7122991152892599)	(42.0, 0.4379506927926898)	(43.0, 0.2718314644920144)	(44.0, 0.20261511936673296)	(45.0, 0.15353443827789698)	(46.0, 0.2013566403644552)	(47.0, 0.5512138029976956)	(48.0, 2.0211172776582114)	(49.0, 2.2841393891342867)	(50.0, 2.6188948037401953)	(51.0, 1.9179219994714332)	(52.0, 1.4308906255899076)	(53.0, 1.999723134619491)	(54.0, 5.421527541812932)	(55.0, 17.630032342910436)	(56.0, 18.17369527189438)	(57.0, 9.096286228464265)	(58.0, 3.6294534425693072)	(59.0, 1.3604158014623493)	(60.0, 0.5122009539270826)	(61.0, 0.14094964825511855)	(62.0, 0.08054265614578203)	(63.0, 0.04656372308428025)	(64.0, 0.0226526220410012)	(65.0, 0.015101748027334135)	(66.0, 0.0037754370068335337)	(67.0, 0.007550874013667067)	(68.0, 0.01761870603188982)	(69.0, 0.01761870603188982)	(70.0, 0.005033916009111378)	(71.0, 0.0)	(72.0, 0.007550874013667067)	(73.0, 0.0)	(74.0, 0.0037754370068335337)	(75.0, 0.0037754370068335337)	(76.0, 0.0037754370068335337)	(77.0, 0.0)	(78.0, 0.0037754370068335337)	(79.0, 0.0037754370068335337)	(80.0, 0.0037754370068335337)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.007550874013667067)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0037754370068335337)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.005033916009111378)
SRR11917050_1	(0.0, 0.1584053857831125)	(1.0, 0.07920269289155625)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.005280179526103749)	(33.0, 0.3484918487228473)	(34.0, 1.0507557256946485)	(35.0, 0.30625041251401747)	(36.0, 0.06996237872087469)	(37.0, 0.06996237872087469)	(38.0, 0.07524255824697844)	(39.0, 0.04092139132730406)	(40.0, 0.08184278265460812)	(41.0, 0.062042109431719054)	(42.0, 0.02508085274899281)	(43.0, 0.026400897630518744)	(44.0, 0.01848062834136312)	(45.0, 0.026400897630518744)	(46.0, 0.09108309682528966)	(47.0, 0.20724704639957223)	(48.0, 0.19140650782126095)	(49.0, 0.4026136888654108)	(50.0, 0.7563857171143624)	(51.0, 1.4586495940861592)	(52.0, 1.8190218467427355)	(53.0, 2.769454161441422)	(54.0, 21.35304600356327)	(55.0, 45.92040129364525)	(56.0, 16.262952940399963)	(57.0, 3.148307042439368)	(58.0, 1.2751633555540558)	(59.0, 0.7801465249818295)	(60.0, 0.4752161573493373)	(61.0, 0.315490726684699)	(62.0, 0.10560359052207498)	(63.0, 0.05412184014256344)	(64.0, 0.08052273777308216)	(65.0, 0.039601346445778125)	(66.0, 0.01980067322288906)	(67.0, 0.015840538578311247)	(68.0, 0.005280179526103749)	(69.0, 0.007920269289155624)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR11917050_2	(0.0, 0.18259003971333554)	(1.0, 0.09129501985666777)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.006086334657111185)	(26.0, 0.006086334657111185)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.010651085649944571)	(30.0, 0.006086334657111185)	(31.0, 0.0)	(32.0, 0.006086334657111185)	(33.0, 0.21150012933461373)	(34.0, 0.8551300193241227)	(35.0, 0.45799668294761625)	(36.0, 0.1460720317706684)	(37.0, 0.10042452184233455)	(38.0, 0.14759361543494623)	(39.0, 0.13389936245644607)	(40.0, 0.1612878684134464)	(41.0, 0.07455759954961202)	(42.0, 0.05325542824972287)	(43.0, 0.08825185252811218)	(44.0, 0.09890293817805675)	(45.0, 0.06999284855677863)	(46.0, 0.09890293817805676)	(47.0, 0.17954687238477995)	(48.0, 0.23736705162733626)	(49.0, 0.3332268224768374)	(50.0, 0.6192845513610629)	(51.0, 1.0407632263660136)	(52.0, 1.8289435644619088)	(53.0, 2.9214406354133677)	(54.0, 9.0336422148172)	(55.0, 27.23178283957918)	(56.0, 28.19646688273132)	(57.0, 14.703062947916443)	(58.0, 6.055902983825627)	(59.0, 2.3006345003880253)	(60.0, 1.0742380669801246)	(61.0, 0.5051657765402282)	(62.0, 0.24041021895589185)	(63.0, 0.12933461146361266)	(64.0, 0.10498927283516793)	(65.0, 0.08368710153527881)	(66.0, 0.028910089621278126)	(67.0, 0.013694252978500165)	(68.0, 0.030431673285555922)	(69.0, 0.028910089621278126)	(70.0, 0.009129501985666777)	(71.0, 0.009129501985666777)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.004564750992833389)	(75.0, 0.004564750992833389)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.009129501985666777)	(81.0, 0.009129501985666777)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.004564750992833389)	(99.0, 0.009129501985666777)	(100.0, 0.01217266931422237)
SRR11917051_1	(0.0, 5.861433332712546)	(1.0, 2.930716666356273)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.004344560920053772)	(32.0, 0.01489563744018436)	(33.0, 1.4318431489377297)	(34.0, 3.862935309487729)	(35.0, 0.9626305695719092)	(36.0, 0.18867807424233507)	(37.0, 0.1272335698015748)	(38.0, 0.15268028376188972)	(39.0, 0.2637769130032646)	(40.0, 0.39038983124483206)	(41.0, 0.33453119084414046)	(42.0, 0.10861402300134435)	(43.0, 0.15392158688190502)	(44.0, 0.20047045388248097)	(45.0, 0.29853340036369497)	(46.0, 0.2557084427231647)	(47.0, 0.5232092650864761)	(48.0, 0.5871363757672667)	(49.0, 0.8893936854910056)	(50.0, 2.285239043948286)	(51.0, 2.630941962872555)	(52.0, 3.977135196529168)	(53.0, 5.675858516270355)	(54.0, 16.459058719842943)	(55.0, 27.81884422266777)	(56.0, 12.325519330192206)	(57.0, 4.682816020257956)	(58.0, 2.1431098367065298)	(59.0, 1.0501424395329961)	(60.0, 0.5877570273272746)	(61.0, 0.31901490184394854)	(62.0, 0.1681965727620817)	(63.0, 0.09061512776112154)	(64.0, 0.05834124664072207)	(65.0, 0.06392711068079121)	(66.0, 0.04654886700057613)	(67.0, 0.02544671396031495)	(68.0, 0.03351518424041481)	(69.0, 0.012413031200153633)	(70.0, 0.0024826062400307267)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR11917051_2	(0.0, 6.665583061843273)	(1.0, 3.3327915309216367)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.002826795191621405)	(29.0, 0.007066987979053511)	(30.0, 0.010600481968580268)	(31.0, 0.016254072351823075)	(32.0, 0.06360289181148158)	(33.0, 0.699631809926297)	(34.0, 2.9561210716380644)	(35.0, 1.6649823678650175)	(36.0, 0.3766704592835524)	(37.0, 0.320134555451124)	(38.0, 0.5271973032373924)	(39.0, 0.6098810625923182)	(40.0, 0.4946891585337459)	(41.0, 0.39151113403956483)	(42.0, 0.3314417362176097)	(43.0, 0.4247259775411164)	(44.0, 0.6918581231493387)	(45.0, 1.0296601485480963)	(46.0, 1.000685497833977)	(47.0, 0.8134103163890589)	(48.0, 0.8770132082005399)	(49.0, 0.9222419312664822)	(50.0, 1.3377808244348297)	(51.0, 1.6932503197812248)	(52.0, 2.4395242503692804)	(53.0, 4.274114329731507)	(54.0, 9.849261146406969)	(55.0, 15.031483431446324)	(56.0, 17.072429559797072)	(57.0, 12.255570553274525)	(58.0, 6.063475686027927)	(59.0, 2.786513360140799)	(60.0, 1.291138703773076)	(61.0, 0.6226016409546147)	(62.0, 0.402111616008145)	(63.0, 0.2402775912878193)	(64.0, 0.13356607280411137)	(65.0, 0.08763065094026357)	(66.0, 0.06572298820519766)	(67.0, 0.034628241097362206)	(68.0, 0.01766746994763378)	(69.0, 0.01766746994763378)	(70.0, 0.019080867543444482)	(71.0, 0.004240192787432108)	(72.0, 0.0)	(73.0, 0.004240192787432108)	(74.0, 0.002120096393716054)	(75.0, 0.002120096393716054)	(76.0, 0.004240192787432108)	(77.0, 0.002120096393716054)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.002120096393716054)	(81.0, 0.002120096393716054)	(82.0, 0.0)	(83.0, 0.002120096393716054)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.002120096393716054)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.002120096393716054)	(91.0, 0.002120096393716054)	(92.0, 0.002120096393716054)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
