Sample	Unique Reads	Duplicate Reads
SRR11917047_1	1088.0	18808.0
SRR11917047_2	2990.0	16906.0
SRR11917048_1	2884.0	46136.0
SRR11917048_2	8153.0	40867.0
SRR11917049_1	1475.0	14968.0
SRR11917049_2	2622.0	13821.0
SRR11917050_1	1194.0	13140.0
SRR11917050_2	2476.0	11858.0
SRR11917051_1	2829.0	24713.0
SRR11917051_2	5186.0	22356.0
SRR11917052_1	817.0	6144.0
SRR11917052_2	1407.0	5554.0
SRR11917053_1	387.0	8028.0
SRR11917053_2	794.0	7621.0
SRR11917054_1	238.0	5950.0
SRR11917054_2	458.0	5730.0
SRR11917055_1	314.0	3208.0
SRR11917055_2	586.0	2936.0
SRR11917056_1	471.0	10902.0
SRR11917056_2	944.0	10429.0
SRR11917057_1	104.0	692.0
SRR11917057_2	195.0	601.0
SRR11917058_1	111.0	3714.0
SRR11917058_2	192.0	3633.0
SRR11917059_1	372.0	1594.0
SRR11917059_2	591.0	1375.0
SRR11917060_1	1375.0	13198.0
SRR11917060_2	2933.0	11640.0
SRR11917061_1	1932.0	15176.0
SRR11917061_2	3485.0	13623.0
SRR11917062_1	1140.0	10504.0
SRR11917062_2	3591.0	8053.0
SRR11917063_1	1941.0	13706.0
SRR11917063_2	3655.0	11992.0
SRR11917064_1	2284.0	21844.0
SRR11917064_2	4766.0	19362.0
SRR11917065_1	62.0	95.0
SRR11917065_2	97.0	60.0
SRR11917066_1	338.0	7691.0
SRR11917066_2	685.0	7344.0
SRR11917067_1	1355.0	12470.0
SRR11917067_2	3055.0	10770.0
SRR11917068_1	1537.0	19815.0
SRR11917068_2	3238.0	18114.0
SRR11917069_1	1416.0	18608.0
SRR11917069_2	3420.0	16604.0
SRR11917070_1	2877.0	51510.0
SRR11917070_2	6873.0	47514.0
SRR11917071_1	950.0	12733.0
SRR11917071_2	2294.0	11389.0
SRR11917072_1	1337.0	18522.0
SRR11917072_2	3366.0	16493.0
SRR11917073_1	1436.0	11872.0
SRR11917073_2	2920.0	10388.0
SRR11917074_1	40.0	1.0
SRR11917074_2	41.0	0.0
SRR11917075_1	262.0	7157.0
SRR11917075_2	509.0	6910.0
SRR11917076_1	976.0	28250.0
SRR11917076_2	1857.0	27369.0
SRR11917077_1	135.0	1803.0
SRR11917077_2	271.0	1667.0
SRR11917078_1	391.0	5145.0
SRR11917078_2	740.0	4796.0
SRR11917079_1	469.0	8338.0
SRR11917079_2	921.0	7886.0
SRR11917080_1	527.0	5998.0
SRR11917080_2	877.0	5648.0
SRR11917081_1	519.0	12005.0
SRR11917081_2	948.0	11576.0
SRR11917082_1	590.0	4252.0
SRR11917082_2	972.0	3870.0
SRR11917083_1	2327.0	43060.0
SRR11917083_2	5031.0	40356.0
SRR11917084_1	1574.0	12287.0
SRR11917084_2	2561.0	11300.0
SRR11917085_1	286.0	7719.0
SRR11917085_2	506.0	7499.0
SRR11917086_1	2357.0	21984.0
SRR11917086_2	5022.0	19319.0
SRR11917087_1	1603.0	14964.0
SRR11917087_2	3826.0	12741.0
SRR11917088_1	1830.0	10290.0
SRR11917088_2	3540.0	8580.0
SRR11917089_1	1924.0	17137.0
SRR11917089_2	2454.0	16607.0
SRR11917090_1	880.0	7221.0
SRR11917090_2	1407.0	6694.0
SRR11917091_1	327.0	6718.0
SRR11917091_2	611.0	6434.0
SRR11917092_1	6.0	0.0
SRR11917092_2	6.0	0.0
SRR11917093_1	1119.0	9584.0
SRR11917093_2	2237.0	8466.0
SRR11917094_1	487.0	4263.0
SRR11917094_2	983.0	3767.0
SRR11917095_1	929.0	5772.0
SRR11917095_2	1687.0	5014.0
SRR11917096_1	637.0	17483.0
SRR11917096_2	1312.0	16808.0
SRR11917097_1	1096.0	14225.0
SRR11917097_2	2894.0	12427.0
SRR11917098_1	1664.0	22169.0
SRR11917098_2	3683.0	20150.0
SRR11917099_1	1776.0	34510.0
SRR11917099_2	5262.0	31024.0
SRR11917100_1	1686.0	17043.0
SRR11917100_2	2485.0	16244.0
SRR11917101_1	783.0	10411.0
SRR11917101_2	1155.0	10039.0
SRR11917102_2	717.0	7945.0
SRR11917103_1	535.0	11533.0
SRR11917103_2	885.0	11183.0
SRR11917104_1	1751.0	74287.0
SRR11917104_2	4651.0	71387.0
SRR11917105_1	684.0	14523.0
SRR11917106_1	117.0	1341.0
SRR11917106_2	224.0	1234.0
SRR11917107_1	331.0	7432.0
SRR11917107_2	686.0	7077.0
SRR11917108_1	65.0	151.0
SRR11917108_2	144.0	72.0
SRR11917109_1	661.0	3549.0
SRR11917109_2	1127.0	3083.0
SRR11917110_1	1656.0	21050.0
SRR11917110_2	2983.0	19723.0
SRR11917111_1	562.0	9907.0
SRR11917111_2	918.0	9551.0
SRR11917112_1	256.0	811.0
SRR11917112_2	420.0	647.0
SRR11917113_1	778.0	8266.0
SRR11917113_2	1728.0	7316.0
SRR11917114_1	1300.0	16075.0
SRR11917114_2	4351.0	13024.0
SRR11917115_1	1841.0	16729.0
SRR11917115_2	4577.0	13993.0
SRR11917116_1	3013.0	32122.0
SRR11917116_2	7405.0	27730.0
SRR11917117_1	1266.0	6813.0
SRR11917117_2	1741.0	6338.0
SRR11917118_1	1336.0	7951.0
SRR11917118_2	2012.0	7275.0
SRR11917119_1	1469.0	15127.0
SRR11917119_2	3888.0	12708.0
SRR11917120_1	277.0	6094.0
SRR11917120_2	580.0	5791.0
SRR11917121_1	1471.0	9786.0
SRR11917121_2	2250.0	9007.0
SRR11917122_1	405.0	9510.0
SRR11917122_2	996.0	8919.0
SRR11917123_1	257.0	8164.0
SRR11917123_2	424.0	7997.0
SRR11917124_1	1132.0	20268.0
SRR11917124_2	2099.0	19301.0
SRR11917125_1	7.0	0.0
SRR11917125_2	7.0	0.0
SRR11917126_1	488.0	2424.0
SRR11917126_2	889.0	2023.0
SRR11917127_1	1650.0	23406.0
SRR11917127_2	3770.0	21286.0
SRR11917128_1	833.0	8507.0
SRR11917128_2	1871.0	7469.0
SRR11917129_1	1311.0	14508.0
SRR11917129_2	2769.0	13050.0
SRR11917130_1	1231.0	14165.0
SRR11917130_2	2446.0	12950.0
SRR11917131_1	1313.0	14492.0
SRR11917131_2	3031.0	12774.0
SRR11917132_1	1472.0	13018.0
SRR11917132_2	3737.0	10753.0
SRR11917133_1	2292.0	21672.0
SRR11917133_2	4534.0	19430.0
SRR11917134_1	42.0	73.0
SRR11917134_2	74.0	41.0
SRR11917135_1	685.0	23679.0
SRR11917135_2	1006.0	23358.0
SRR11917136_1	87.0	1875.0
SRR11917136_2	200.0	1762.0
SRR11917137_1	423.0	5452.0
SRR11917137_2	732.0	5143.0
SRR11917138_1	617.0	6037.0
SRR11917138_2	996.0	5658.0
SRR11917139_1	1727.0	14457.0
SRR11917139_2	2424.0	13760.0
SRR11917140_1	1297.0	15570.0
SRR11917140_2	2877.0	13990.0
SRR11917141_1	1728.0	20539.0
SRR11917141_2	4397.0	17870.0
SRR11917142_1	796.0	10354.0
SRR11917142_2	1780.0	9370.0
SRR11917143_1	3.0	1.0
SRR11917143_2	4.0	0.0
SRR11917144_1	2493.0	24720.0
SRR11917144_2	4304.0	22909.0
SRR11917145_1	1380.0	10852.0
SRR11917145_2	1815.0	10417.0
SRR11917146_1	1854.0	14405.0
SRR11917146_2	4412.0	11847.0
SRR11917147_1	1323.0	15776.0
SRR11917147_2	2250.0	14849.0
SRR11917148_1	1743.0	8950.0
SRR11917148_2	2753.0	7940.0
SRR11917149_1	401.0	11559.0
SRR11917149_2	619.0	11341.0
SRR11917150_1	252.0	5958.0
SRR11917150_2	480.0	5730.0
SRR11917151_1	1289.0	6888.0
SRR11917151_2	2123.0	6054.0
SRR11917152_1	1471.0	13061.0
