Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR11917047_1	(1.0, 3.8952553277040614)	(2.0, 1.4374748693204664)	(3.0, 0.9348612786489747)	(4.0, 0.5227181342983513)	(5.0, 0.32669883393646965)	(6.0, 0.4523522316043426)	(7.0, 0.35182951347004426)	(8.0, 0.24125452352231602)	(9.0, 0.04523522316043426)	('>10', 2.4527543224768795)	('>50', 0.0)	('>100', 9.685363892239646)	('>500', 24.301367108966627)	('>1k', 55.35283474065139)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917047_2	(1.0, 12.454764776839566)	(2.0, 2.4527543224768795)	(3.0, 1.4022919179734619)	(4.0, 0.6835544833132288)	(5.0, 0.27643747486932047)	(6.0, 0.24125452352231602)	(7.0, 0.246280659429031)	(8.0, 0.2010454362685967)	(9.0, 0.09047044632086852)	('>10', 4.86529955770004)	('>50', 11.982308001608363)	('>100', 38.68114193807801)	('>500', 19.682348210695615)	('>1k', 6.740048250904704)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917048_1	(1.0, 4.169726642186863)	(2.0, 1.1179110567115462)	(3.0, 0.7711138310893513)	(4.0, 0.6283149734802121)	(5.0, 0.6629946960424317)	(6.0, 0.4773561811505508)	(7.0, 0.44267645858833127)	(8.0, 0.45695634434924526)	(9.0, 0.2386780905752754)	('>10', 5.232558139534884)	('>50', 2.456140350877193)	('>100', 11.007751937984496)	('>500', 13.97796817625459)	('>1k', 9.975520195838433)	('>5k', 27.623419012647897)	('>10k+', 20.760913912688697)
SRR11917048_2	(1.0, 12.949816401468789)	(2.0, 3.068135454916361)	(3.0, 1.7564259485924112)	(4.0, 1.346389228886169)	(5.0, 1.0607915136678907)	(6.0, 0.6242350061199511)	(7.0, 0.5711954304365565)	(8.0, 0.6201550387596899)	(9.0, 0.5324357405140758)	('>10', 9.469604243166055)	('>50', 7.368421052631578)	('>100', 11.654426764585883)	('>500', 23.786209710322318)	('>1k', 25.191758465932274)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917049_1	(1.0, 6.416104117253542)	(2.0, 2.092075655294046)	(3.0, 1.60554643313264)	(4.0, 0.80277321656632)	(5.0, 0.9730584443228121)	(6.0, 0.4378762999452655)	(7.0, 0.6811409110259685)	(8.0, 0.2919175332968436)	(9.0, 0.3284072249589491)	('>10', 4.889618682722131)	('>50', 1.5508118956394819)	('>100', 8.672383385027063)	('>500', 14.370856899592532)	('>1k', 56.887429301222404)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917049_2	(1.0, 12.8382898497841)	(2.0, 2.7732165663200146)	(3.0, 1.4230979748221126)	(4.0, 0.875752599890531)	(5.0, 0.6993857568570213)	(6.0, 0.5838350665936872)	(7.0, 0.5108556832694764)	(8.0, 0.48652922216140604)	(9.0, 0.27367268746579093)	('>10', 6.343124733929331)	('>50', 5.412637596545642)	('>100', 47.327130085750774)	('>500', 13.336982302499544)	('>1k', 7.1154898741105645)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917050_1	(1.0, 5.441607367099205)	(2.0, 1.8138691223664016)	(3.0, 1.6115529510255338)	(4.0, 1.4790009766987582)	(5.0, 1.0115808567043394)	(6.0, 1.088321473419841)	(7.0, 0.8790288823775638)	(8.0, 0.6697362913352868)	(9.0, 0.4395144411887819)	('>10', 6.627598716338776)	('>50', 1.6882935677410351)	('>100', 0.0)	('>500', 0.0)	('>1k', 77.24989535370447)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917050_2	(1.0, 13.324961629691643)	(2.0, 3.7951723175666245)	(3.0, 2.0092088740058602)	(4.0, 1.8975861587833123)	(5.0, 0.9069345611832008)	(6.0, 0.5860192549183758)	(7.0, 0.8301939444676991)	(8.0, 0.6139249337240128)	(9.0, 0.5650899958141482)	('>10', 3.0486954095158363)	('>50', 0.0)	('>100', 32.858936793637504)	('>500', 29.147481512487794)	('>1k', 10.41579461420399)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917051_1	(1.0, 7.265267591315082)	(2.0, 2.0259966596470846)	(3.0, 1.2853097088083654)	(4.0, 1.1182920630310071)	(5.0, 0.8350882288867911)	(6.0, 0.7624718611575049)	(7.0, 0.6608089463365042)	(8.0, 0.7261636772928618)	(9.0, 0.5555152131290393)	('>10', 10.449495316244281)	('>50', 5.802047781569966)	('>100', 17.55137608016847)	('>500', 10.460387771403674)	('>1k', 40.50177910100937)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917051_2	(1.0, 14.243700530099485)	(2.0, 3.3766610994118076)	(3.0, 2.1349212112410134)	(4.0, 1.5685135429525814)	(5.0, 1.1073996078716142)	(6.0, 0.8713964127514342)	(7.0, 1.092876334325757)	(8.0, 0.6099774889260039)	(9.0, 0.8169341369544695)	('>10', 17.791010093675112)	('>50', 6.825938566552901)	('>100', 39.245515939292716)	('>500', 10.315155035945102)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
