Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR11917047_1	SRR11917047_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19896.0	5.8 Mbp	0.0	35-301	53.0	5.46843586650583	296.3359971853639	294	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR11917047_2	SRR11917047_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19896.0	5.9 Mbp	0.0	35-301	54.0	15.028146361077605	299.17083835946926	301	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR11917048_1	SRR11917048_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49020.0	14.2 Mbp	0.0	35-301	53.0	5.883312933496532	291.08974908200736	294	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR11917048_2	SRR11917048_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49020.0	14.4 Mbp	0.0	35-301	53.0	16.629946960424316	294.57425540595676	301	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR11917049_1	SRR11917049_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16443.0	4.8 Mbp	0.0	35-301	49.0	8.964300918323907	295.28191327616616	294	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR11917049_2	SRR11917049_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16443.0	4.9 Mbp	0.0	35-301	50.0	15.939913641063066	297.841361065499	301	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR11917050_1	SRR11917050_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14334.0	4.2 Mbp	0.0	35-301	54.0	8.32286870378122	296.27253383563556	294	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR11917050_2	SRR11917050_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14334.0	4.2 Mbp	0.0	35-301	55.0	17.27361518068927	298.7970210687875	301	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR11917051_1	SRR11917051_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27542.0	7.8 Mbp	0.0	35-301	53.0	10.267954396921066	286.27775760656453	294	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR11917051_2	SRR11917051_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27542.0	7.9 Mbp	0.0	35-301	54.0	18.82942415220391	289.16420376152786	301	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR11917052_1	SRR11917052_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6961.0	2 Mbp	0.0	35-301	41.0	11.736819422496767	295.36991811521335	294	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR11917052_2	SRR11917052_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6961.0	2 Mbp	0.0	35-301	41.0	20.21261313029737	296.70083321361875	294	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR11917053_1	SRR11917053_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8415.0	2.4 Mbp	0.0	35-301	53.0	4.598930481283422	291.3614973262032	294	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR11917053_2	SRR11917053_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8415.0	2.4 Mbp	0.0	35-301	53.0	9.435531788472964	294.09714795008915	294	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR11917054_1	SRR11917054_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6188.0	1.8 Mbp	0.0	35-301	53.0	3.8461538461538463	293.7222850678733	294	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR11917054_2	SRR11917054_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6188.0	1.8 Mbp	0.0	35-301	53.0	7.401422107304461	296.4866677440207	294	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR11917055_1	SRR11917055_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3522.0	904.3 kbp	0.0	35-301	54.0	8.915388983532084	258.32254400908573	294	pass	fail	pass	fail	fail	warn	warn	fail	fail	pass
SRR11917055_2	SRR11917055_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3522.0	916.3 kbp	0.0	35-301	54.0	16.638273708120384	260.694491766042	294	pass	fail	pass	fail	fail	warn	warn	fail	fail	pass
SRR11917056_1	SRR11917056_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11373.0	3 Mbp	0.0	35-301	54.0	4.141387496702717	267.7831267035962	294	pass	fail	pass	fail	fail	warn	warn	fail	fail	pass
SRR11917056_2	SRR11917056_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11373.0	3 Mbp	0.0	35-301	54.0	8.300360502945573	270.23656906708874	294	pass	fail	pass	fail	fail	warn	warn	fail	fail	pass
SRR11917057_1	SRR11917057_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	796.0	220.4 kbp	0.0	35-301	53.0	13.06532663316583	278.91331658291455	294	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR11917057_2	SRR11917057_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	796.0	224.4 kbp	0.0	35-301	53.0	24.49748743718593	282.40201005025125	294	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR11917058_1	SRR11917058_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3825.0	1.1 Mbp	0.0	35-301	55.0	2.9019607843137254	294.35699346405227	294	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR11917058_2	SRR11917058_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3825.0	1.1 Mbp	0.0	35-301	55.0	5.019607843137255	296.8850980392157	294	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR11917059_1	SRR11917059_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1966.0	565.5 kbp	0.0	35-301	54.0	18.921668362156662	289.5773143438454	294	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
