Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR11917047_1	94.53156413349417	53.0	296.3359971853639	294	50.0	0.019896
SRR11917047_2	84.9718536389224	54.0	299.17083835946926	301	50.0	0.019896
SRR11917048_1	94.11668706650347	53.0	291.08974908200736	294	50.0	0.04902
SRR11917048_2	83.37005303957568	53.0	294.57425540595676	301	50.0	0.04902
SRR11917049_1	91.03569908167609	49.0	295.28191327616616	294	50.0	0.016443
SRR11917049_2	84.06008635893693	50.0	297.841361065499	301	50.0	0.016443
SRR11917050_1	91.67713129621877	54.0	296.27253383563556	294	50.0	0.014334
SRR11917050_2	82.72638481931074	55.0	298.7970210687875	301	50.0	0.014334
SRR11917051_1	89.73204560307893	53.0	286.27775760656453	294	50.0	0.027541999999999997
SRR11917051_2	81.17057584779609	54.0	289.16420376152786	301	50.0	0.027541999999999997
SRR11917052_1	88.26318057750323	41.0	295.36991811521335	294	50.0	0.006960999999999999
SRR11917052_2	79.78738686970263	41.0	296.70083321361875	294	50.0	0.006960999999999999
SRR11917053_1	95.40106951871658	53.0	291.3614973262032	294	50.0	0.008414999999999999
SRR11917053_2	90.56446821152704	53.0	294.09714795008915	294	50.0	0.008414999999999999
SRR11917054_1	96.15384615384616	53.0	293.7222850678733	294	50.0	0.006188
SRR11917054_2	92.59857789269554	53.0	296.4866677440207	294	50.0	0.006188
SRR11917055_1	91.08461101646792	54.0	258.32254400908573	294	50.0	0.003522
SRR11917055_2	83.36172629187962	54.0	260.694491766042	294	50.0	0.003522
SRR11917056_1	95.85861250329728	54.0	267.7831267035962	294	50.0	0.011373
SRR11917056_2	91.69963949705442	54.0	270.23656906708874	294	50.0	0.011373
SRR11917057_1	86.93467336683418	53.0	278.91331658291455	294	40.0	0.0007959999999999999
SRR11917057_2	75.50251256281408	53.0	282.40201005025125	294	50.0	0.0007959999999999999
SRR11917058_1	97.09803921568627	55.0	294.35699346405227	294	50.0	0.003825
SRR11917058_2	94.98039215686275	55.0	296.8850980392157	294	50.0	0.003825
SRR11917059_1	81.07833163784333	54.0	289.5773143438454	294	50.0	0.001966
SRR11917059_2	69.93896236012208	55.0	292.2884028484232	301	50.0	0.001966
SRR11917060_1	90.56474301790983	50.0	293.21289370754135	294	50.0	0.014573
SRR11917060_2	79.87373910656694	50.0	296.81074589995194	301	50.0	0.014573
SRR11917061_1	88.70703764320785	46.0	293.3449263502455	294	50.0	0.017107999999999998
SRR11917061_2	79.63525835866261	47.0	296.0082125321487	301	50.0	0.017107999999999998
SRR11917062_1	90.20954998282377	53.0	295.93112332531774	294	50.0	0.011644
SRR11917062_2	69.16008244589489	53.0	298.6618000687049	301	50.0	0.011644
SRR11917063_1	87.60145714833514	53.0	288.98907138748643	294	50.0	0.015646999999999998
SRR11917063_2	76.64728062887454	54.0	295.15539720074133	301	50.0	0.015646999999999998
SRR11917064_1	90.53796419098143	54.0	293.8995150862069	294	50.0	0.024128
SRR11917064_2	80.24701591511936	55.0	297.5465019893899	301	50.0	0.024128
SRR11917065_1	60.509554140127385	53.0	287.9171974522293	292	40.0	0.000157
SRR11917065_2	38.21656050955414	53.0	292.6496815286624	301	40.0	0.000157
SRR11917066_1	95.79026030638934	54.0	293.8900236642172	294	50.0	0.008029
SRR11917066_2	91.46842695229792	54.0	296.4846182588118	294	50.0	0.008029
SRR11917067_1	90.20614828209764	53.0	256.84372513562386	294	40.0	0.013824999999999999
SRR11917067_2	77.90235081374323	53.0	261.1814466546112	294	50.0	0.013824999999999999
SRR11917068_1	92.80161109029599	54.0	296.13794960659425	294	50.0	0.021352
SRR11917068_2	84.83514424878231	54.0	298.7894810790558	301	50.0	0.021352
SRR11917069_1	92.92848581701958	51.0	293.38960747103476	294	50.0	0.020024
SRR11917069_2	82.92548941270475	52.0	295.96079704354776	301	50.0	0.020024
SRR11917070_1	94.7101329361796	53.0	295.3516557265523	294	50.0	0.054387
SRR11917070_2	87.36278890175961	53.0	297.90862706161397	301	50.0	0.054387
SRR11917071_1	93.05707812614193	45.0	295.55905137762187	294	50.0	0.013682999999999999
SRR11917071_2	83.23467075933641	45.0	297.53168164876126	301	50.0	0.013682999999999999
SRR11917072_1	93.27257162999143	54.0	296.1695704718264	294	50.0	0.019858999999999998
SRR11917072_2	83.05050606777783	55.0	298.5188831260386	301	50.0	0.019858999999999998
SRR11917073_1	89.20949804628795	54.0	296.59990231439735	294	50.0	0.013307999999999999
SRR11917073_2	78.05831079050195	55.0	298.82818605350167	301	50.0	0.013307999999999999
SRR11917074_1	4.878048780487802	48.0	297.9512195121951	301	30.0	4.1e-05
SRR11917074_2	0.0	49.0	299.6829268292683	301	30.0	4.1e-05
SRR11917075_1	96.46852675562744	54.0	294.38610324841625	294	50.0	0.007418999999999999
SRR11917075_2	93.13923709394797	54.0	297.08801725299907	294	50.0	0.007418999999999999
SRR11917076_1	96.66050776705673	44.0	293.8506124683501	294	40.0	0.029226
SRR11917076_2	93.64606856908232	44.0	294.9765619653733	294	50.0	0.029226
SRR11917077_1	93.03405572755418	45.0	292.7541279669763	294	40.0	0.0019379999999999998
SRR11917077_2	86.01651186790505	45.0	294.7079463364293	294	50.0	0.0019379999999999998
SRR11917078_1	92.9371387283237	54.0	293.5282695086705	294	50.0	0.005536
SRR11917078_2	86.63294797687861	54.0	296.22723988439304	294	50.0	0.005536
SRR11917079_1	94.67469058703304	53.0	293.75587600772116	294	50.0	0.008806999999999999
SRR11917079_2	89.54240944703076	53.0	296.31588509140454	294	50.0	0.008806999999999999
SRR11917080_1	91.92337164750958	54.0	293.367969348659	294	50.0	0.0065249999999999996
SRR11917080_2	86.55938697318008	54.0	295.93157088122604	294	50.0	0.0065249999999999996
SRR11917081_1	95.85595656339828	54.0	292.9342063238582	294	50.0	0.012523999999999999
SRR11917081_2	92.43053337591823	54.0	295.7194586394123	301	50.0	0.012523999999999999
SRR11917082_1	87.81495249896737	54.0	292.3358116480793	294	50.0	0.004842
SRR11917082_2	79.94630318050392	54.0	294.9354605534903	294	50.0	0.004842
SRR11917083_1	94.8729812501377	54.0	295.728292242272	294	50.0	0.045387
SRR11917083_2	88.91532817767202	55.0	298.3438429506246	301	50.0	0.045387
SRR11917084_1	88.64439795108578	53.0	289.9148690570666	294	50.0	0.013861
SRR11917084_2	81.53091407546353	53.0	295.1203015655436	301	50.0	0.013861
SRR11917085_1	96.42723297938788	54.0	291.9910056214866	294	50.0	0.008005
SRR11917085_2	93.6789506558401	54.0	294.59875078076203	294	50.0	0.008005
SRR11917086_1	90.32085781192227	51.0	291.17283595579477	294	50.0	0.024340999999999998
SRR11917086_2	79.368144283308	52.0	295.2081262068115	301	50.0	0.024340999999999998
SRR11917087_1	90.32413834731696	52.0	293.83153256473713	294	50.0	0.016567
SRR11917087_2	76.90589726564858	53.0	297.5577352568359	301	50.0	0.016567
