	SRR11917047	SRR11917048	SRR11917049	SRR11917050	SRR11917051	SRR11917052	SRR11917053	SRR11917054	SRR11917055	SRR11917056	SRR11917057	SRR11917058	SRR11917059	SRR11917060	SRR11917061	SRR11917062	SRR11917063	SRR11917064	SRR11917065	SRR11917066	SRR11917067	SRR11917068	SRR11917069	SRR11917070	SRR11917071	SRR11917072	SRR11917073	SRR11917074	SRR11917075	SRR11917076	SRR11917077	SRR11917078	SRR11917079	SRR11917080	SRR11917081	SRR11917082	SRR11917083	SRR11917084	SRR11917085	SRR11917086	SRR11917087	SRR11917088	SRR11917089	SRR11917090	SRR11917091	SRR11917092	SRR11917093	SRR11917094	SRR11917095	SRR11917096	SRR11917097	SRR11917098	SRR11917099	SRR11917100	SRR11917101	SRR11917103	SRR11917104	SRR11917106	SRR11917107	SRR11917108	SRR11917109	SRR11917110	SRR11917111	SRR11917112	SRR11917113	SRR11917114	SRR11917115	SRR11917116	SRR11917117	SRR11917118	SRR11917119	SRR11917120	SRR11917121	SRR11917122	SRR11917123	SRR11917124	SRR11917125	SRR11917126	SRR11917127	SRR11917128	SRR11917129	SRR11917130	SRR11917131	SRR11917132	SRR11917133	SRR11917134	SRR11917135	SRR11917136	SRR11917137	SRR11917138	SRR11917139	SRR11917140	SRR11917141	SRR11917142	SRR11917143	SRR11917144	SRR11917145	SRR11917146	SRR11917147	SRR11917148	SRR11917149	SRR11917150	SRR11917151	SRR11917152	SRR11917153	SRR11917154	SRR11917155	SRR11917156	SRR11917157	SRR11917158	SRR11917159	SRR11917160	SRR11917161	SRR11917162	SRR11917163	SRR11917164	SRR11917165	SRR11917166	SRR11917167	SRR11917168	SRR11917169	SRR11917170	SRR11917171	SRR11917172	SRR11917173	SRR11917174	SRR11917175	SRR11917176	SRR11917177	SRR11917178	SRR11917179	SRR11917180	SRR11917181	SRR11917182	SRR11917183	SRR11917184	SRR11917185	SRR11917186	SRR11917187	SRR11917188	SRR11917189	SRR11917190	SRR11917191	SRR11917192	SRR11917193	SRR11917194	SRR11917195	SRR11917196	SRR11917197	SRR11917198	SRR11917199	SRR11917200	SRR11917201	SRR11917202	SRR11917203	SRR11917204	SRR11917205	SRR11917206	SRR11917207	SRR11917208	SRR11917209	SRR11917210	SRR11917211	SRR11917212	SRR11917213	SRR11917214	SRR11917215	SRR11917216	SRR11917217	SRR11917218	SRR11917219	SRR11917220	SRR11917221	SRR11917222	SRR11917223	SRR11917224	SRR11917225	SRR11917226	SRR11917227	SRR11917228	SRR11917229	SRR11917231	SRR11917232	SRR11917233	SRR11917234	SRR11917235	SRR11917236	SRR11917237	SRR11917238	SRR11917239	SRR11917240	SRR11917241	SRR11917242	SRR11917243	SRR11917244	SRR11917245	SRR11917246	SRR11917247	SRR11917248	SRR11917249	SRR11917250	SRR11917251	SRR11917252	SRR11917253	SRR11917254	SRR11917255	SRR11917256	SRR11917257	SRR11917258	SRR11917259	SRR11917260	SRR11917261	SRR11917262	SRR11917263	SRR11917264	SRR11917265	SRR11917266	SRR11917267	SRR11917269	SRR11917270	SRR11917271	SRR11917272	SRR11917273	SRR11917274	SRR11917275	SRR11917276	SRR11917277	SRR11917278	SRR11917279	SRR11917280	SRR11917281	SRR11917282	SRR11917283	SRR11917284	SRR11917285	SRR11917286	SRR11917287	SRR11917288	SRR11917289	SRR11917290	SRR11917291	SRR11917292	SRR11917293	SRR11917294	SRR11917295	SRR11917296	SRR11917297	SRR11917298	SRR11917299	SRR11917300	SRR11917301	SRR11917302
ASV_0001	363	68	0	60	114	0	45	165	61	0	0	0	0	77	41	0	75	0	0	70	0	114	0	1188	0	0	0	0	157	0	0	0	0	0	105	0	189	137	0	100	0	0	62	0	74	0	0	0	0	0	84	366	0	0	0	77	0	0	55	39	0	99	0	0	0	64	72	122	0	0	0	33	0	48	353	0	0	0	136	58	37	0	0	0	89	30	308	0	0	0	168	134	0	0	0	83	146	0	0	0	214	0	0	68	0	0	0	62	426	0	0	0	122	0	477	42	0	0	0	83	0	0	0	51	0	0	0	678	145	103	0	38	0	0	60	0	0	77	0	151	0	30	48	0	0	0	0	61	0	0	0	0	158	7	55	0	0	0	42	63	0	60	141	0	0	0	0	268	0	0	0	103	139	0	0	0	0	0	95	0	0	56	0	0	0	0	0	0	54	1025	0	50	573	0	0	0	0	0	0	60	0	101	0	0	71	272	0	0	0	0	73	0	116	0	0	115	1422	0	465	59	0	0	32	103	0	0	0	57	93	209	0	107	0	0	152	74	0	0	0	0	58	64	519	0	0	0	0	357	0	534	0	0
ASV_0002	91	878	243	326	0	157	17	47	101	270	56	0	53	69	64	0	72	0	0	0	39	0	535	478	84	558	0	0	0	605	78	153	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	116	814	201	0	0	2518	34	0	0	83	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	62	146	331	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	49	0	0	66	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	182	296	164	42	0	79	413	383	0	0	50	0	1000	26	40	98	198	55	254	0	168	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	178	0	292	165	670	161	40	356	133	651	65	0	109	0	0	0	0	0	0	0	0	0	0
ASV_0003	345	55	0	0	0	0	50	122	0	0	0	0	0	74	27	0	59	0	0	49	0	100	0	834	0	0	0	0	125	0	0	0	0	0	74	0	169	110	0	67	0	0	62	0	57	0	0	0	0	0	75	275	0	0	0	57	0	0	0	0	0	101	0	0	0	52	29	107	0	0	0	24	0	41	261	0	0	0	130	56	32	0	0	0	69	0	231	0	0	0	136	128	0	0	0	99	134	0	0	0	188	0	0	95	0	0	60	51	383	0	20	0	89	0	429	36	0	0	0	97	0	0	0	42	0	0	0	612	92	79	0	24	0	0	27	0	0	52	0	170	0	0	0	0	0	0	0	47	0	0	0	0	134	18	52	0	0	0	32	43	0	29	121	0	0	0	0	228	0	0	0	110	132	0	0	0	0	0	43	0	0	39	0	0	0	0	0	0	54	864	0	52	412	0	0	0	0	0	0	45	0	56	0	0	42	251	0	0	0	0	69	0	80	0	0	83	1107	0	378	59	0	0	27	76	0	0	0	0	102	184	0	86	0	0	83	40	0	0	0	0	39	44	462	0	0	0	0	333	0	423	0	0
ASV_0004	71	635	268	292	0	146	26	37	59	167	62	0	26	43	39	0	50	0	0	0	29	0	371	370	93	465	0	0	0	218	63	136	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	110	710	248	0	0	1839	20	0	0	58	37	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	65	126	262	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	36	0	0	60	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	106	347	151	35	0	58	314	134	0	0	26	0	867	18	30	53	83	48	174	0	155	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	179	0	212	162	549	113	51	108	93	348	54	0	73	0	0	0	0	0	0	0	0	0	0
ASV_0005	269	47	0	0	0	0	38	93	0	0	0	0	0	51	21	0	42	0	0	49	0	89	0	631	0	0	0	0	97	0	0	0	0	0	82	0	141	74	0	59	0	0	49	0	55	0	0	0	0	0	58	244	0	0	0	62	0	0	0	0	0	67	0	0	0	47	37	73	0	0	0	13	0	53	195	0	0	0	132	41	20	0	0	0	49	0	242	0	0	0	118	67	0	0	0	60	85	0	0	0	143	0	0	40	0	0	23	42	310	0	0	0	76	0	346	51	0	0	0	79	0	0	0	44	0	0	0	454	87	64	0	25	0	0	0	0	0	35	0	121	0	0	0	0	0	0	0	37	0	0	0	0	140	16	37	0	0	0	33	25	0	30	108	0	0	0	0	195	0	0	0	56	98	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	45	592	0	38	322	0	0	0	0	0	0	35	0	52	0	0	32	265	0	0	0	0	44	0	67	0	0	94	1181	0	289	55	0	0	14	72	0	0	0	0	57	150	0	58	0	0	60	41	0	0	0	0	40	33	393	0	0	0	0	209	0	478	0	0
ASV_0006	162	79	0	0	0	0	27	71	0	0	0	0	0	59	49	0	0	0	0	34	0	57	41	652	0	0	0	0	111	0	0	0	0	0	65	0	127	0	0	46	0	0	57	0	53	0	0	0	0	0	48	175	0	0	0	66	0	0	0	0	0	85	0	0	0	48	54	71	0	0	0	27	0	38	206	0	0	0	86	38	32	0	0	0	20	0	202	0	0	0	92	0	0	0	0	0	78	0	0	0	194	0	0	44	0	0	0	44	261	0	0	0	50	0	252	0	0	0	0	50	0	0	0	45	0	0	0	420	86	58	0	17	0	7	0	0	0	43	0	119	0	0	0	0	0	0	0	54	0	0	0	0	114	20	37	20	0	0	27	61	0	87	128	0	0	0	0	161	0	0	0	0	86	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	619	0	39	304	0	0	0	0	0	0	49	0	46	0	0	40	201	0	0	0	0	61	0	53	0	0	55	875	0	259	47	0	0	23	54	0	0	0	0	62	93	0	65	0	0	56	45	0	0	0	0	22	40	280	0	0	0	0	216	0	400	0	0
ASV_0007	185	86	0	0	0	0	38	40	0	0	0	0	0	78	103	0	86	0	0	27	0	36	0	510	0	0	0	0	57	0	0	0	0	0	97	0	103	0	0	58	0	0	33	0	44	0	0	0	0	0	64	161	19	0	0	61	0	0	0	0	0	86	0	0	0	52	96	98	0	0	0	8	0	40	124	0	0	0	110	0	18	0	0	0	79	0	295	0	0	0	86	0	27	0	0	0	77	0	0	0	206	0	0	31	0	0	0	33	214	0	0	0	38	0	249	0	0	37	0	86	0	0	0	43	0	0	0	343	92	84	0	30	0	0	0	0	0	31	0	101	0	0	0	0	0	0	0	33	0	0	0	0	132	15	44	0	0	0	27	47	0	24	132	0	0	0	0	123	0	0	0	0	108	0	0	0	0	45	0	0	0	30	0	0	0	0	0	0	0	344	0	26	218	0	0	0	0	0	0	33	0	106	0	0	55	252	0	0	0	0	45	0	108	0	0	101	1076	0	202	55	0	0	82	65	0	0	0	0	43	108	0	44	0	0	43	26	0	0	0	0	59	59	261	0	0	0	14	175	0	484	0	0
ASV_0008	84	104	0	0	61	0	84	39	0	0	0	0	0	89	55	0	70	0	0	117	0	40	0	0	0	0	0	0	28	0	0	0	0	0	80	0	193	110	0	90	0	0	284	0	73	0	0	0	0	0	84	96	0	0	0	79	0	0	41	0	0	161	94	0	0	98	211	101	0	0	0	24	0	101	0	0	0	0	147	61	30	0	0	0	56	38	67	0	0	0	116	84	0	0	0	80	39	0	0	0	25	21	0	126	0	0	0	56	74	201	0	0	26	0	95	27	0	0	0	113	0	0	0	98	0	0	0	563	90	128	0	69	0	0	76	72	0	128	0	172	0	0	0	0	0	0	0	78	0	0	0	0	35	14	0	0	0	0	39	60	0	55	76	0	0	0	0	112	0	0	0	84	50	0	0	0	0	34	0	0	0	35	0	0	0	0	0	0	0	193	0	89	35	0	0	0	0	0	0	112	49	74	0	0	67	87	0	0	0	0	114	0	138	0	0	68	93	0	948	59	0	0	62	64	0	0	0	0	113	102	0	0	0	0	238	40	0	0	0	0	104	82	111	0	0	0	0	122	0	123	0	0
ASV_0009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	221	0	107	0	0	293	0	0	0	0	0	0	0	0	0	0	1287	0	0	0	0	0	0	0	0	277	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	52	91	275	331	412	0	367	0	0	0	125	116	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	70	261	671	0	290	188	630	0	108	170	524	198	408	0	949	104	0	195	247	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0
ASV_0010	62	520	181	226	0	113	25	32	52	174	45	0	19	0	38	0	0	0	0	0	44	0	276	260	65	329	0	0	0	301	44	89	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	80	560	167	0	0	1263	21	0	0	48	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	45	95	205	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	30	0	0	38	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	93	235	79	30	0	53	209	202	0	0	27	0	662	0	13	39	107	49	130	0	126	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	127	0	174	95	430	78	32	200	74	247	65	0	53	0	0	0	0	0	0	0	0	0	0
