names,Assay Type,AvgSpotLen,Bases,BioSample,Bytes,Experiment,isolate,create_date,sample_name,block,
SRR11917047,AMPLICON,594,11822968,SAMN15057922,8209256,SRX8463819,419rtWZ2017,2020-06-03T12:08:00Z,1146,6,
SRR11917048,AMPLICON,584,28665283,SAMN15057921,20111018,SRX8463818,719urFR2017,2020-06-03T12:08:00Z,1146,5,
SRR11917049,AMPLICON,592,9746791,SAMN15057920,6907523,SRX8463817,57kyGY2017,2020-06-03T12:08:00Z,1146,3,
SRR11917050,AMPLICON,593,8513798,SAMN15057919,6011504,SRX8463816,137xvLO2017,2020-06-03T12:08:00Z,1146,2,
SRR11917051,AMPLICON,574,15826159,SAMN15057856,11081594,SRX8463815,468nhNZ2017,2020-06-03T12:08:00Z,1105,5,
SRR11917052,AMPLICON,593,4130933,SAMN15057918,3056745,SRX8463814,887srVQ2017,2020-06-03T12:08:00Z,1146,2,
SRR11917053,AMPLICON,582,4901625,SAMN15057917,2693992,SRX8463813,686zfQO2017,2020-06-03T12:08:00Z,1146,8,
SRR11917054,AMPLICON,587,3633356,SAMN15057916,2000274,SRX8463812,829xaHX2017,2020-06-03T12:08:00Z,1146,7,
SRR11917055,AMPLICON,516,1820710,SAMN15057915,1067096,SRX8463811,459evOH2017,2020-06-03T12:08:00Z,1146,5,
SRR11917056,AMPLICON,535,6091209,SAMN15057914,3269419,SRX8463810,180mnOX2017,2020-06-03T12:08:00Z,1146,4,
SRR11917057,AMPLICON,558,444871,SAMN15057913,326100,SRX8463809,771qfFC2017,2020-06-03T12:08:00Z,1146,3,
SRR11917058,AMPLICON,588,2249606,SAMN15057912,1277819,SRX8463808,822imKI2017,2020-06-03T12:08:00Z,1146,2,
SRR11917059,AMPLICON,579,1138923,SAMN15057911,728193,SRX8463807,901whLN2017,2020-06-03T12:08:00Z,1146,1,
SRR11917060,AMPLICON,589,8589824,SAMN15057910,6023417,SRX8463806,10xwRQ2017,2020-06-03T12:08:00Z,1131,6,
SRR11917061,AMPLICON,589,10081457,SAMN15057909,7035886,SRX8463805,722joXZ2017,2020-06-03T12:08:00Z,1131,5,
SRR11917062,AMPLICON,593,6911931,SAMN15057855,5020795,SRX8463804,784zgPI2017,2020-06-03T12:08:00Z,1105,3,
SRR11917063,AMPLICON,583,9126997,SAMN15057908,6555876,SRX8463803,728yiLB2017,2020-06-03T12:08:00Z,1131,3,
SRR11917064,AMPLICON,590,14244684,SAMN15057907,9959460,SRX8463802,652elNZ2017,2020-06-03T12:08:00Z,1131,2,
SRR11917065,AMPLICON,580,91143,SAMN15057906,130404,SRX8463801,289wsYP2017,2020-06-03T12:08:00Z,1131,8,
SRR11917066,AMPLICON,587,4714761,SAMN15057905,2594921,SRX8463800,455ctAU2017,2020-06-03T12:08:00Z,1131,7,
SRR11917067,AMPLICON,516,7134784,SAMN15057904,3986389,SRX8463799,597xjJP2017,2020-06-03T12:08:00Z,1131,1,
SRR11917068,AMPLICON,593,12678461,SAMN15057903,8940138,SRX8463798,615snRF2017,2020-06-03T12:08:00Z,1127,9,
SRR11917069,AMPLICON,588,11784506,SAMN15057902,8255941,SRX8463797,312vwPT2017,2020-06-03T12:09:00Z,1127,6,
SRR11917070,AMPLICON,592,32203662,SAMN15057901,22482382,SRX8463796,565krWL2017,2020-06-03T12:09:00Z,1127,5,
SRR11917071,AMPLICON,593,8118835,SAMN15057900,5672388,SRX8463795,696suJT2017,2020-06-03T12:08:00Z,1127,3,
SRR11917072,AMPLICON,593,11787705,SAMN15057899,8285501,SRX8463794,765dwGB2017,2020-06-03T12:08:00Z,1127,2,
SRR11917073,AMPLICON,594,7912176,SAMN15057854,5711138,SRX8463793,833frHE2017,2020-06-03T12:08:00Z,1105,2,
SRR11917074,AMPLICON,597,24503,SAMN15057898,99982,SRX8463792,936svDG2017,2020-06-03T12:08:00Z,1127,8,
SRR11917075,AMPLICON,588,4364679,SAMN15057897,2397455,SRX8463791,757kyEB2017,2020-06-03T12:08:00Z,1127,7,
SRR11917076,AMPLICON,586,17150573,SAMN15057896,9176641,SRX8463790,206orZO2017,2020-06-03T12:09:00Z,1127,4,
SRR11917077,AMPLICON,585,1134510,SAMN15057895,679660,SRX8463789,550dtTQ2017,2020-06-03T12:08:00Z,1127,3,
SRR11917078,AMPLICON,586,3247979,SAMN15057894,1805695,SRX8463788,196ykOX2017,2020-06-03T12:08:00Z,1127,2,
SRR11917079,AMPLICON,586,5169496,SAMN15058094,2795804,SRX8463787,657rfZL2017,2020-06-03T12:08:00Z,1355,3,
SRR11917080,AMPLICON,585,3821056,SAMN15058093,2177293,SRX8463786,135mlKX2017,2020-06-03T12:08:00Z,1355,2,
SRR11917081,AMPLICON,585,7333867,SAMN15058092,4007500,SRX8463785,134cbMR2017,2020-06-03T12:08:00Z,1355,10,
SRR11917082,AMPLICON,584,2829313,SAMN15058091,1633765,SRX8463784,710tvAC2017,2020-06-03T12:08:00Z,1355,1,
SRR11917083,AMPLICON,592,26907900,SAMN15058090,18635368,SRX8463783,742snGM2017,2020-06-03T12:09:00Z,1351,9,
SRR11917084,AMPLICON,584,8096504,SAMN15058089,5781933,SRX8463782,838ecNR2017,2020-06-03T12:08:00Z,1351,6,
SRR11917085,AMPLICON,583,4671051,SAMN15057873,2552277,SRX8463781,866zmNH2017,2020-06-03T12:08:00Z,1117,5,
SRR11917086,AMPLICON,585,14251785,SAMN15058088,9942396,SRX8463780,510zwXS2017,2020-06-03T12:09:00Z,1351,5,
SRR11917087,AMPLICON,590,9779851,SAMN15058087,6951511,SRX8463779,569izAN2017,2020-06-03T12:09:00Z,1351,3,
SRR11917088,AMPLICON,593,7193286,SAMN15058086,5143258,SRX8463778,406zzRT2017,2020-06-03T12:08:00Z,1351,2,
SRR11917089,AMPLICON,577,11013522,SAMN15058085,7841217,SRX8463777,195soQP2017,2020-06-03T12:09:00Z,1351,9,
SRR11917090,AMPLICON,594,4814865,SAMN15058084,3489002,SRX8463776,298krIA2017,2020-06-03T12:08:00Z,1351,2,
SRR11917091,AMPLICON,584,4115709,SAMN15058083,2251825,SRX8463775,627fxGZ2017,2020-06-03T12:08:00Z,1351,8,
SRR11917092,AMPLICON,556,3341,SAMN15058082,83198,SRX8463774,933gjDO2017,2020-06-03T12:08:00Z,1351,7,
SRR11917093,AMPLICON,543,5811906,SAMN15058081,3247377,SRX8463773,600mjEG2017,2020-06-03T12:08:00Z,1351,4,
SRR11917094,AMPLICON,550,2613224,SAMN15058080,1498465,SRX8463772,745qdDM2017,2020-06-03T12:08:00Z,1351,3,
SRR11917095,AMPLICON,578,3879257,SAMN15058079,2231316,SRX8463771,393cmLU2017,2020-06-03T12:08:00Z,1351,1,
SRR11917096,AMPLICON,579,10503755,SAMN15057872,5510275,SRX8463770,288zhPR2017,2020-06-03T12:09:00Z,1117,4,
SRR11917097,AMPLICON,592,9083121,SAMN15058078,6399026,SRX8463769,958cwQP2017,2020-06-03T12:09:00Z,1348,9,
SRR11917098,AMPLICON,594,14160413,SAMN15058077,9981189,SRX8463768,946fyHV2017,2020-06-03T12:09:00Z,1348,6,
SRR11917099,AMPLICON,593,21551125,SAMN15058076,14898932,SRX8463767,599ovBY2017,2020-06-03T12:09:00Z,1348,5,
SRR11917100,AMPLICON,593,11122554,SAMN15058075,7910562,SRX8463766,481zbUY2017,2020-06-03T12:09:00Z,1348,3,
SRR11917101,AMPLICON,594,6652091,SAMN15058074,4741867,SRX8463765,701zoCU2017,2020-06-03T12:09:00Z,1348,2,
SRR11917102,AMPLICON,584,5061393,SAMN15058073,2759696,SRX8463764,500lrFG2017,2020-06-03T12:09:00Z,1348,8,
SRR11917103,AMPLICON,589,7108487,SAMN15058072,3916203,SRX8463763,799suQX2017,2020-06-03T12:09:00Z,1348,7,
SRR11917104,AMPLICON,567,43130754,SAMN15058071,23847288,SRX8463762,541coKS2017,2020-06-03T12:09:00Z,1348,5,
SRR11917105,AMPLICON,579,8807174,SAMN15058070,4718367,SRX8463761,176ayOJ2017,2020-06-03T12:09:00Z,1348,4,
SRR11917106,AMPLICON,565,825015,SAMN15058069,532880,SRX8463760,579aeFK2017,2020-06-03T12:08:00Z,1348,3,
SRR11917107,AMPLICON,584,4537642,SAMN15057871,2551823,SRX8463759,487fzJW2017,2020-06-03T12:09:00Z,1117,3,
SRR11917108,AMPLICON,523,113065,SAMN15058068,143263,SRX8463758,172ijRY2017,2020-06-03T12:08:00Z,1348,10,
SRR11917109,AMPLICON,578,2434099,SAMN15058067,1437795,SRX8463757,939ozUI2017,2020-06-03T12:09:00Z,1348,1,
SRR11917110,AMPLICON,590,13403113,SAMN15058066,9369331,SRX8463756,767kcLK2017,2020-06-03T12:09:00Z,1331,6,
SRR11917111,AMPLICON,574,6015875,SAMN15058008,3182382,SRX8463755,454hgLU2017,2020-06-03T12:09:00Z,1255,4,
SRR11917112,AMPLICON,553,590578,SAMN15058007,407195,SRX8463754,361vnSJ2017,2020-06-03T12:09:00Z,1255,2,
SRR11917113,AMPLICON,590,5336052,SAMN15058006,3136868,SRX8463753,352igUG2017,2020-06-03T12:09:00Z,1255,1,
SRR11917114,AMPLICON,591,10281992,SAMN15058005,7322940,SRX8463752,309vmYD2017,2020-06-03T12:09:00Z,1242,9,
SRR11917115,AMPLICON,585,10872825,SAMN15058004,7790956,SRX8463751,246bfDE2017,2020-06-03T12:09:00Z,1242,6,
SRR11917116,AMPLICON,588,20683924,SAMN15058003,14559955,SRX8463750,368efVD2017,2020-06-03T12:09:00Z,1242,5,
SRR11917117,AMPLICON,593,4795864,SAMN15058002,3512224,SRX8463749,190tqRV2017,2020-06-03T12:09:00Z,1242,3,
SRR11917118,AMPLICON,593,5514651,SAMN15058001,3969428,SRX8463748,626kxGQ2017,2020-06-03T12:09:00Z,1242,2,
SRR11917119,AMPLICON,589,9783849,SAMN15058000,6926661,SRX8463747,740nbTH2017,2020-06-03T12:09:00Z,1242,2,
SRR11917120,AMPLICON,585,3728262,SAMN15057999,2041399,SRX8463746,430riDJ2017,2020-06-03T12:09:00Z,1242,8,D
SRR11917121,AMPLICON,594,6687975,SAMN15057864,4850176,SRX8463745,176alBM2017,2020-06-03T12:09:00Z,1111,3,
SRR11917122,AMPLICON,573,5681703,SAMN15057998,3187677,SRX8463744,460wiQB2017,2020-06-03T12:09:00Z,1242,8,
SRR11917123,AMPLICON,588,4953126,SAMN15057997,2712097,SRX8463743,398heUQ2017,2020-06-03T12:09:00Z,1242,7,
SRR11917124,AMPLICON,573,12275736,SAMN15057996,6712088,SRX8463742,501hhPM2017,2020-06-03T12:09:00Z,1242,4,
SRR11917125,AMPLICON,590,4133,SAMN15057995,84076,SRX8463741,488haEE2017,2020-06-03T12:09:00Z,1242,3,
SRR11917126,AMPLICON,565,1645519,SAMN15057994,1000009,SRX8463740,31cfOW2017,2020-06-03T12:09:00Z,1242,1,
SRR11917127,AMPLICON,594,14884272,SAMN15057993,10419379,SRX8463739,87zwUA2017,2020-06-03T12:09:00Z,1238,9,
SRR11917128,AMPLICON,593,5541784,SAMN15057992,3928698,SRX8463738,651ulRT2017,2020-06-03T12:09:00Z,1238,6,
SRR11917129,AMPLICON,590,9335983,SAMN15057991,6442735,SRX8463737,747aqKB2017,2020-06-03T12:09:00Z,1238,5,
SRR11917130,AMPLICON,594,9147596,SAMN15057990,6509989,SRX8463736,751hdDS2017,2020-06-03T12:09:00Z,1238,3,
SRR11917131,AMPLICON,593,9382869,SAMN15057989,6595235,SRX8463735,323blGU2017,2020-06-03T12:09:00Z,1238,2,
SRR11917132,AMPLICON,591,8565928,SAMN15057863,6069288,SRX8463734,781haAC2017,2020-06-03T12:09:00Z,1111,2,
SRR11917133,AMPLICON,591,14175554,SAMN15057988,9951379,SRX8463733,864nuSA2017,2020-06-03T12:09:00Z,1238,5,
SRR11917134,AMPLICON,588,67717,SAMN15057987,118001,SRX8463732,866kzBN2017,2020-06-03T12:09:00Z,1238,8,
SRR11917135,AMPLICON,586,14299884,SAMN15057986,7875206,SRX8463731,948exER2017,2020-06-03T12:09:00Z,1238,4,
SRR11917136,AMPLICON,587,1153063,SAMN15057985,710959,SRX8463730,582rpJO2017,2020-06-03T12:09:00Z,1238,3,
SRR11917137,AMPLICON,588,3457246,SAMN15057984,1967617,SRX8463729,358usSO2017,2020-06-03T12:09:00Z,1238,2,
SRR11917138,AMPLICON,586,3903262,SAMN15057983,2261176,SRX8463728,533yxWU2017,2020-06-03T12:09:00Z,1238,1,
SRR11917139,AMPLICON,592,9589805,SAMN15057982,6758611,SRX8463727,620dtOY2017,2020-06-03T12:09:00Z,1231,9,
